,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,[1. 1. 1.],[1. 1. 1.],2.0,20:51:15
2,1.0,1.0,4.0,8.0,4.0,10.0,2.0,2.0,42.0,2,[1. 1. 1.],[1. 1. 1.],2.0,20:52:15
3,1.0,1.0,8.0,14.0,8.0,20.0,3.0,3.0,84.0,3,[1. 1. 1.],[1. 1. 1.],2.0,20:53:18
4,1.0,1.0,13.0,15.0,13.0,23.0,4.0,4.0,108.0,4,[1. 1. 1.],[1. 1. 1.],2.0,20:54:22
5,1.0,1.0,17.0,15.0,17.0,24.0,5.0,5.0,123.0,5,[1. 1. 1.],[1. 1. 1.],2.0,20:55:25
6,1.0,1.0,17.0,15.0,17.0,24.0,6.0,6.0,123.0,6,"[[  0.51581091   0.47736512]
 [ -1.30410252  -1.13777565]
 [ 99.4931456  198.63691812]
 [ 19.66579101  45.93301381]]","[[ 0.06938145  0.09568622]
 [ 0.15381695  0.26232182]
 [ 4.9135876  12.04013995]
 [ 1.57151801  6.36583264]]",2.0,20:57:19
7,1.0,1.0,24.0,26.0,24.0,43.0,7.0,7.0,201.0,7,"[[  0.51581091   0.47736512]
 [ -1.30410252  -1.13777565]
 [ 99.4931456  198.63691812]
 [ 19.66579101  45.93301381]]","[[ 0.06938145  0.09568622]
 [ 0.15381695  0.26232182]
 [ 4.9135876  12.04013995]
 [ 1.57151801  6.36583264]]",2.0,20:58:19
8,1.0,1.0,27.0,32.0,27.0,52.0,8.0,8.0,237.0,8,"[[  0.51581091   0.47736512]
 [ -1.30410252  -1.13777565]
 [ 99.4931456  198.63691812]
 [ 19.66579101  45.93301381]]","[[ 0.06938145  0.09568622]
 [ 0.15381695  0.26232182]
 [ 4.9135876  12.04013995]
 [ 1.57151801  6.36583264]]",2.0,20:59:25
9,1.0,1.0,30.0,34.0,30.0,54.0,9.0,9.0,252.0,9,"[[  0.51581091   0.47736512]
 [ -1.30410252  -1.13777565]
 [ 99.4931456  198.63691812]
 [ 19.66579101  45.93301381]]","[[ 0.06938145  0.09568622]
 [ 0.15381695  0.26232182]
 [ 4.9135876  12.04013995]
 [ 1.57151801  6.36583264]]",2.0,21:00:31
10,1.0,1.0,30.0,34.0,30.0,54.0,10.0,10.0,252.0,10,"[[  0.51581091   0.47736512]
 [ -1.30410252  -1.13777565]
 [ 99.4931456  198.63691812]
 [ 19.66579101  45.93301381]]","[[ 0.06938145  0.09568622]
 [ 0.15381695  0.26232182]
 [ 4.9135876  12.04013995]
 [ 1.57151801  6.36583264]]",2.0,21:01:50
11,1.0,1.0,35.0,43.0,36.0,70.0,11.0,11.0,318.0,11,"[[  0.51581091   0.47736512]
 [ -1.30410252  -1.13777565]
 [ 99.4931456  198.63691812]
 [ 19.66579101  45.93301381]]","[[ 0.06938145  0.09568622]
 [ 0.15381695  0.26232182]
 [ 4.9135876  12.04013995]
 [ 1.57151801  6.36583264]]",2.0,21:02:50
12,1.0,1.0,37.0,48.0,38.0,79.0,12.0,12.0,351.0,12,"[[  0.51581091   0.47736512]
 [ -1.30410252  -1.13777565]
 [ 99.4931456  198.63691812]
 [ 19.66579101  45.93301381]]","[[ 0.06938145  0.09568622]
 [ 0.15381695  0.26232182]
 [ 4.9135876  12.04013995]
 [ 1.57151801  6.36583264]]",2.0,21:03:59
13,1.0,1.0,37.0,58.0,38.0,93.0,13.0,13.0,393.0,13,"[[  0.51581091   0.47736512]
 [ -1.30410252  -1.13777565]
 [ 99.4931456  198.63691812]
 [ 19.66579101  45.93301381]]","[[ 0.06938145  0.09568622]
 [ 0.15381695  0.26232182]
 [ 4.9135876  12.04013995]
 [ 1.57151801  6.36583264]]",2.0,21:05:06
14,1.0,1.0,37.0,58.0,38.0,93.0,14.0,14.0,393.0,14,"[[  0.47004225   0.45335373]
 [ -1.52791154  -1.34021973]
 [ 99.70456123 198.83949415]
 [ 18.26236575  46.36370771]]","[[ 0.05528059  0.06701024]
 [ 0.09836176  0.12480585]
 [ 4.52587931 10.68254583]
 [ 0.95649614  3.06883509]]",2.0,21:06:30
15,1.0,1.0,39.0,80.0,41.0,123.0,15.0,15.0,492.0,15,"[[  0.47004225   0.45335373]
 [ -1.52791154  -1.34021973]
 [ 99.70456123 198.83949415]
 [ 18.26236575  46.36370771]]","[[ 0.05528059  0.06701024]
 [ 0.09836176  0.12480585]
 [ 4.52587931 10.68254583]
 [ 0.95649614  3.06883509]]",2.0,21:07:30
