workers,hits,score,submitTime,answer0,answer1,answer2,status,assignmentId
A12B9W69X0BQBF,3VJ4PFXFJ4A66RZIRFGSZUFYD0KAUL,task2,2024-03-22 20:53:04+09:00,350,store,sad,Submitted,3VHP9MDGRON738XK66MM790DN57FC0
A210JGTRF11SFM,3VJ4PFXFJ4A66RZIRFGSZUFYD0KAUL,task2,2024-03-22 20:53:05+09:00,350,renewable,peace,Submitted,3FFJ6VRIL2R7J74UVYZNF5B4U82I01
ABVSR4GA6S3U3,3VJ4PFXFJ4A66RZIRFGSZUFYD0KAUL,task2,2024-03-22 20:53:06+09:00,50,renewable,horror,Submitted,32Z9ZLUT1MNSQTLTR1JD5U67SY3HOX
AGANKP4PUZ4NC,3VJ4PFXFJ4A66RZIRFGSZUFYD0KAUL,task2,2024-03-22 20:53:07+09:00,350,renewable,horror,Submitted,3W2LOLRXLCIMPWEHPE3ECHR4V2RKRD
A33VE53A8N8DNF,3VJ4PFXFJ4A66RZIRFGSZUFYD0KAUL,task2,2024-03-22 20:53:10+09:00,50,renewable,sad,Submitted,3IHR8NYAM84GZH9ZRUC9052TXYDP40
AR6H3B01WJ1FQ,3VJ4PFXFJ4A66RZIRFGSZUFYD0KAUL,task2,2024-03-22 20:53:11+09:00,50,store,horror,Submitted,31LVTDXBL8DX92WZAEFFRH4JK2WRLN
A34Z9LMI089LMT,3VJ4PFXFJ4A66RZIRFGSZUFYD0KAUL,task2,2024-03-22 20:53:21+09:00,350,renewable,peace,Submitted,3TVSS0C0E23Q0BLQIHRC07MH6UXTWV
A2LI71A9ZRA199,3VJ4PFXFJ4A66RZIRFGSZUFYD0KAUL,task2,2024-03-22 20:53:21+09:00,50,renewable,sad,Submitted,3KGTPGBS6YOJO82842SFHWSUL19U25
AWOL38XDW8O9,3VJ4PFXFJ4A66RZIRFGSZUFYD0KAUL,task2,2024-03-22 20:53:22+09:00,350,store,sad,Submitted,3W2LOLRXLCIMPWEHPE3ECHR4V2RRKK
AILT4SWETTAUL,3VJ4PFXFJ4A66RZIRFGSZUFYD0KAUL,task2,2024-03-22 20:53:23+09:00,350,renewable,horror,Submitted,37W3JXSD67BMHXKKSNEB8OEWLWFWYN
A17F2N5HNUVDTC,3IH9TRB0FC253CRI1FYL5QYKFBRI1X,task1,2024-03-22 20:53:13+09:00,idk,store,sad,Submitted,35K3O9HUACGM06HY2XSHXX0G8HKFET
AJO6Z6W5DL0GX,3VJ4PFXFJ4A66RZIRFGSZUFYD0KAUL,task2,2024-03-22 20:53:24+09:00,idk,idk,idk,Submitted,3OCHAWUVGPN6MS0TYD961ZDSWJCKX9
A142FFFX25RI2B,3VJ4PFXFJ4A66RZIRFGSZUFYD0KAUL,task2,2024-03-22 20:53:25+09:00,350,renewable,horror,Submitted,3WYGZ5XF3XIYQBEU433J2RW0H4AKS1
A19PO2S1CDNJMQ,3VJ4PFXFJ4A66RZIRFGSZUFYD0KAUL,task2,2024-03-22 20:53:32+09:00,50,renewable,horror,Submitted,3C2NJ6JBKBK6TIIZ71GT3100D5GN26
A26OCFHK1TVNUT,3VJ4PFXFJ4A66RZIRFGSZUFYD0KAUL,task2,2024-03-22 20:53:32+09:00,350,renewable,peace,Submitted,3QILPRALQ6YHFXKONIPUDSD3Z58N89
A1OAZCVZRC00F0,3VJ4PFXFJ4A66RZIRFGSZUFYD0KAUL,task2,2024-03-22 20:53:34+09:00,50,store,horror,Submitted,3Y54SXRO1MOD87WLNHCBIJ1KLEMTUW
ADXEOPGL6MH1D,3VJ4PFXFJ4A66RZIRFGSZUFYD0KAUL,task2,2024-03-22 20:53:34+09:00,50,store,peace,Submitted,308XBLVESJ7LWTANJ1QLDE8E88IRB0
AZ87W9Z8WTACR,3VJ4PFXFJ4A66RZIRFGSZUFYD0KAUL,task2,2024-03-22 20:53:40+09:00,350,renewable,horror,Submitted,3O6CYIULEE450O0FIMHM538JP84WUP
