workers,hits,score,submitTime,answer0,answer1,answer2,status,assignmentId
A2LI71A9ZRA199,3PUV2Q8SV57P8ZTOBYQZK5VG8D7DBV,stask2,2024-03-05 17:16:18+09:00,ag,renewable,horror,Submitted,3YWRV122CT2UAN4XKJ1GRN5X2ZS8U4
AR6H3B01WJ1FQ,3PUV2Q8SV57P8ZTOBYQZK5VG8D7DBV,stask2,2024-03-05 17:16:36+09:00,be,store,horror,Submitted,3ITXP059PXM3FR8CMI371CWNXD0JSI
AJYZB3LYAEX9Q,3PUV2Q8SV57P8ZTOBYQZK5VG8D7DBV,stask2,2024-03-05 17:16:47+09:00,ag,store,peace,Submitted,3Z4AIRP3C7G4GRE7Q33OWKHTIB31X5
A3POEVXV1KKQPU,3PUV2Q8SV57P8ZTOBYQZK5VG8D7DBV,stask2,2024-03-05 17:16:49+09:00,be,store,peace,Submitted,39GAF6DQWS3CC29CQO268ZK820V1V2
A3H3VJ97I647N4,3PUV2Q8SV57P8ZTOBYQZK5VG8D7DBV,stask2,2024-03-05 17:16:49+09:00,ag,store,sad,Submitted,3U0SRXB7CE8NX2ZKMRVU4988KVMRN6
A193SP8INHA4MB,3PUV2Q8SV57P8ZTOBYQZK5VG8D7DBV,stask2,2024-03-05 17:16:56+09:00,be,renewable,peace,Submitted,35USIKEBNSJUBJ10U3SWTEHCO896NO
A245HJGQCYTW6N,3PUV2Q8SV57P8ZTOBYQZK5VG8D7DBV,stask2,2024-03-05 17:17:00+09:00,be,store,horror,Submitted,345LHZDEDYV89QYR826K06XMMDZU3X
A1H9ESNHIFA30Q,3PUV2Q8SV57P8ZTOBYQZK5VG8D7DBV,stask2,2024-03-05 17:17:05+09:00,ag,store,horror,Submitted,3L0KT67Y8FJTAG3B8I4ABZBBAH9YSR
A33VE53A8N8DNF,3PUV2Q8SV57P8ZTOBYQZK5VG8D7DBV,stask2,2024-03-05 17:17:05+09:00,ag,renewable,horror,Submitted,3LUY3GC6303DI4RITSAG3HM3JYTP71
ATPW1MWLW7RBL,3PUV2Q8SV57P8ZTOBYQZK5VG8D7DBV,stask2,2024-03-05 17:17:27+09:00,be,renewable,peace,Submitted,3ZGVPD4G6UKUU6QVT4BJZBGZIURTZ2
ATBO8AV9ADX1C,3PUV2Q8SV57P8ZTOBYQZK5VG8D7DBV,stask2,2024-03-05 17:17:27+09:00,ag,idk,horror,Submitted,3AQF3RZ559LINROJWF9JL983MHN6FH
A1A9RBD2M6F8VT,3PUV2Q8SV57P8ZTOBYQZK5VG8D7DBV,stask2,2024-03-05 17:17:29+09:00,be,store,horror,Submitted,3TUI152ZZCQK7UDV4P8W2CL0L8G1Q8
A3WJU5XK5O1VP,3PUV2Q8SV57P8ZTOBYQZK5VG8D7DBV,stask2,2024-03-05 17:17:31+09:00,ag,renewable,sad,Submitted,3XCC1ODXDME80ZCC2JNB833DP69RQT
A2V321BE8FFE6E,3QXFBUZ4ZLJ7GICLDF82VGQ1AQUUG3,stask1,2024-03-05 17:16:34+09:00,ag,store,horror,Submitted,3QFUFYSY9ZI484K5DRG4OBOPQQH4FU
A2RG8LFDG105JI,3QXFBUZ4ZLJ7GICLDF82VGQ1AQUUG3,stask1,2024-03-05 17:16:41+09:00,ag,renewable,sad,Submitted,3C6FJU71TRW9PTVFXNZAQ0TZVEUYU7
ATEYBJTZRO24I,3QXFBUZ4ZLJ7GICLDF82VGQ1AQUUG3,stask1,2024-03-05 17:16:51+09:00,ag,idk,horror,Submitted,3KKG4CDWKJ1V7UTSA5GCEF2ENSM947
A2V1DL83JURG61,3QXFBUZ4ZLJ7GICLDF82VGQ1AQUUG3,stask1,2024-03-05 17:17:03+09:00,ag,store,horror,Submitted,3YW4XOSQKROCZNKCLYS1CDIPOTM1UD
AW43Y0DWJFVE8,3QXFBUZ4ZLJ7GICLDF82VGQ1AQUUG3,stask1,2024-03-05 17:17:10+09:00,ag,store,sad,Submitted,3TXD01ZLD5KTRMHV8GB3ABPS0DVU4I
A3LZL0F6C98X8N,3QXFBUZ4ZLJ7GICLDF82VGQ1AQUUG3,stask1,2024-03-05 17:17:24+09:00,ag,store,sad,Submitted,3907X2AHF186W3UCNGTL7Q5V8I7P2L
A2C3OJAE5J26RG,3QXFBUZ4ZLJ7GICLDF82VGQ1AQUUG3,stask1,2024-03-05 17:17:35+09:00,ag,store,horror,Submitted,3TPWUS5F8A49EUJFWVWMBXMDD6NWCW
A3VF2IODR96IAF,3PUV2Q8SV57P8ZTOBYQZK5VG8D7DBV,stask2,2024-03-05 17:17:41+09:00,ag,store,horror,Submitted,37Q970SNZFBWKAS8WTX1XC013W11SX
A1640SCV2MWK3I,3PUV2Q8SV57P8ZTOBYQZK5VG8D7DBV,stask2,2024-03-05 17:17:50+09:00,ag,idk,horror,Submitted,38YMOXR4MV2KYDAEM4JJPXU3HKCW64
A1ILCIHMXPNTMT,3PUV2Q8SV57P8ZTOBYQZK5VG8D7DBV,stask2,2024-03-05 17:17:54+09:00,be,store,exciting,Submitted,3EG49X351VFZNDF4W9F5RG8AQMJ6X8
A2C5HSMKN7QDM8,3PUV2Q8SV57P8ZTOBYQZK5VG8D7DBV,stask2,2024-03-05 17:17:57+09:00,ag,renewable,sad,Submitted,3BEFOD78W7WAEECMZEKHJ18YNRT4M1
A324C5L6JIMN16,3PUV2Q8SV57P8ZTOBYQZK5VG8D7DBV,stask2,2024-03-05 17:18:01+09:00,be,store,horror,Submitted,3DH6GAKTYZSQBSPP3AYI7S8EXW9YZW
