,0,1,2,3,4,5,6,7,8
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0
2,0.0,12.0,1.0,22.0,3.0,66.0,2.0,1.0,1.0
3,0.0,19.0,2.0,35.0,6.0,105.0,3.0,1.0,1.0
4,0.0,23.0,2.0,46.0,6.0,138.0,4.0,1.0,1.0
5,0.0,27.0,2.0,51.0,6.0,153.0,5.0,1.0,1.0
6,0.0,29.0,3.0,56.0,9.0,168.0,6.0,1.0,1.0
7,0.0,32.0,3.0,59.0,9.0,177.0,7.0,1.0,1.0
8,0.0,34.0,3.0,64.0,9.0,192.0,8.0,1.0,1.0
9,1.0,35.0,5.0,65.0,15.0,195.0,9.0,1.0,1.0
10,1.0,36.0,6.0,66.0,18.0,198.0,10.0,1.0,1.0
11,1.0,38.0,10.0,69.0,30.0,207.0,11.0,1.0,1.0
12,1.0,40.0,10.0,74.0,30.0,222.0,12.0,1.0,1.0
13,1.0,43.0,13.0,82.0,39.0,246.0,13.0,1.0,1.0
14,1.0,45.0,13.0,86.0,39.0,258.0,14.0,1.0,1.0
15,1.0,46.0,13.0,88.0,39.0,264.0,15.0,1.0,1.0
16,1.0,46.0,13.0,88.0,39.0,264.0,16.0,1.0,1.0
17,1.0,46.0,15.0,89.0,45.0,267.0,17.0,1.0,1.0
18,1.0,47.0,15.0,91.0,45.0,273.0,18.0,1.0,1.0
19,1.0,47.0,16.0,92.0,48.0,276.0,19.0,1.0,1.0
20,1.0,47.0,16.0,92.0,48.0,276.0,20.0,1.0,1.0
21,1.0,47.0,16.0,92.0,48.0,276.0,21.0,1.0,1.0
22,1.0,47.0,16.0,92.0,48.0,276.0,22.0,1.0,1.0
23,1.0,48.0,17.0,94.0,51.0,282.0,23.0,1.0,1.0
24,1.0,50.0,17.0,97.0,51.0,291.0,24.0,1.0,1.0
25,1.0,50.0,17.0,98.0,51.0,294.0,25.0,1.0,1.0
26,1.0,50.0,17.0,98.0,51.0,294.0,26.0,1.0,1.0
27,2.0,51.0,19.0,99.0,57.0,297.0,27.0,1.0,1.0
