,0,1,2,3,4,5,6,7,8
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,2.0,0.0,6.0,0.0,1.0,1.0,1.0
2,0.0,4.0,5.0,5.0,15.0,15.0,2.0,1.0,1.0
3,0.0,15.0,8.0,24.0,24.0,72.0,3.0,1.0,1.0
4,0.0,23.0,9.0,45.0,27.0,135.0,4.0,1.0,1.0
5,0.0,25.0,12.0,52.0,36.0,156.0,5.0,1.0,1.0
6,1.0,26.0,16.0,57.0,48.0,171.0,6.0,1.0,1.0
7,1.0,29.0,16.0,65.0,48.0,195.0,7.0,1.0,1.0
8,1.0,31.0,17.0,69.0,51.0,207.0,8.0,1.0,1.0
9,2.0,31.0,19.0,69.0,57.0,207.0,9.0,1.0,0.0
10,4.0,31.0,21.0,69.0,63.0,207.0,10.0,1.0,0.0
11,5.0,31.0,22.0,69.0,66.0,207.0,11.0,1.0,0.0
12,5.0,31.0,22.0,69.0,66.0,207.0,12.0,1.0,0.0
13,5.0,31.0,22.0,69.0,66.0,207.0,13.0,1.0,0.0
14,6.0,31.0,23.0,69.0,69.0,207.0,14.0,1.0,0.0
15,6.0,31.0,23.0,69.0,69.0,207.0,15.0,1.0,0.0
16,6.0,31.0,23.0,69.0,69.0,207.0,16.0,1.0,0.0
17,6.0,31.0,23.0,69.0,69.0,207.0,17.0,1.0,0.0
18,6.0,31.0,23.0,69.0,69.0,207.0,18.0,1.0,0.0
19,6.0,31.0,23.0,69.0,69.0,207.0,19.0,1.0,0.0
20,6.0,31.0,24.0,69.0,72.0,207.0,20.0,1.0,0.0
21,6.0,31.0,25.0,69.0,75.0,207.0,21.0,1.0,0.0
22,6.0,31.0,27.0,69.0,81.0,207.0,22.0,1.0,0.0
23,6.0,31.0,28.0,69.0,84.0,207.0,23.0,1.0,0.0
24,6.0,31.0,29.0,69.0,87.0,207.0,24.0,1.0,0.0
25,6.0,31.0,30.0,69.0,90.0,207.0,25.0,1.0,0.0
