,0,1,2,3,4,5,6,7,8
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
3,0.0,5.0,0.0,11.0,0.0,33.0,3.0,1.0,1.0
4,0.0,12.0,2.0,28.0,6.0,84.0,4.0,1.0,1.0
5,2.0,19.0,7.0,39.0,21.0,117.0,5.0,1.0,1.0
6,5.0,21.0,10.0,46.0,30.0,138.0,6.0,1.0,1.0
7,5.0,21.0,12.0,47.0,36.0,141.0,7.0,1.0,1.0
8,6.0,23.0,16.0,49.0,48.0,147.0,8.0,1.0,1.0
9,7.0,25.0,18.0,52.0,54.0,156.0,9.0,1.0,1.0
10,11.0,28.0,23.0,56.0,69.0,168.0,10.0,1.0,1.0
11,11.0,28.0,27.0,57.0,81.0,171.0,11.0,1.0,1.0
12,12.0,30.0,31.0,60.0,93.0,180.0,12.0,1.0,1.0
13,12.0,35.0,31.0,70.0,93.0,210.0,13.0,1.0,1.0
14,12.0,39.0,31.0,75.0,93.0,225.0,14.0,1.0,1.0
15,14.0,42.0,33.0,79.0,99.0,237.0,15.0,1.0,1.0
16,17.0,43.0,37.0,81.0,111.0,243.0,16.0,1.0,1.0
17,17.0,45.0,37.0,84.0,111.0,252.0,17.0,1.0,1.0
18,17.0,45.0,37.0,87.0,111.0,261.0,18.0,1.0,1.0
19,17.0,45.0,37.0,87.0,111.0,261.0,19.0,1.0,1.0
20,17.0,45.0,38.0,87.0,114.0,261.0,20.0,1.0,1.0
21,17.0,45.0,38.0,88.0,114.0,264.0,21.0,1.0,1.0
22,17.0,47.0,38.0,91.0,114.0,273.0,22.0,1.0,1.0
23,17.0,48.0,38.0,94.0,114.0,282.0,23.0,1.0,1.0
24,17.0,50.0,38.0,96.0,114.0,288.0,24.0,1.0,1.0
25,17.0,50.0,38.0,96.0,114.0,288.0,25.0,1.0,1.0
