0,1,2,3,4,5,6,7,8,9,10,11,12,13
19.0,19.0,19.0,19.0,20.94,25.16,21.46,26.1,71.0,42.0,71.0,42.0,1017.0,19.0
500.0,500.0,500.0,500.0,36.5,47.5,34.84,47.28,119.0,79.0,119.0,79.0,1782.0,500.0
500.0,500.0,500.0,500.0,36.3,47.56,35.78,47.24,119.0,79.0,119.0,79.0,1782.0,500.0
500.0,500.0,500.0,500.0,35.04,48.02,35.24,47.7,119.0,79.0,119.0,79.0,1782.0,500.0
500.0,500.0,500.0,500.0,36.06,47.58,34.94,46.46,119.0,79.0,119.0,79.0,1782.0,500.0
500.0,500.0,500.0,500.0,35.68,47.58,35.44,47.36,119.0,79.0,119.0,79.0,1782.0,500.0
500.0,500.0,500.0,500.0,35.14,48.26,35.5,47.42,119.0,79.0,119.0,79.0,1782.0,500.0
500.0,500.0,500.0,500.0,35.54,47.8,35.92,46.7,119.0,79.0,119.0,79.0,1782.0,500.0
500.0,500.0,500.0,500.0,36.22,46.6,35.1,46.3,119.0,79.0,119.0,79.0,1782.0,500.0
500.0,500.0,500.0,500.0,36.22,47.7,35.86,48.3,119.0,79.0,119.0,79.0,1782.0,500.0
