0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
720.0,720.0,720.0,720.0,720.0,720.0,35.26,46.7,35.52,48.32,42.38,48.92,119.0,79.0,119.0,79.0,109.0,99.0,2614.0,720.0
720.0,720.0,720.0,720.0,720.0,720.0,35.8,45.94,35.62,47.74,44.22,48.84,119.0,79.0,119.0,79.0,109.0,99.0,2614.0,720.0
720.0,720.0,720.0,720.0,720.0,720.0,34.98,47.68,35.18,47.5,44.1,49.36,119.0,79.0,119.0,79.0,109.0,99.0,2614.0,720.0
720.0,720.0,720.0,720.0,720.0,720.0,33.88,46.02,34.74,46.86,43.08,49.78,119.0,79.0,119.0,79.0,109.0,99.0,2614.0,720.0
720.0,720.0,720.0,720.0,720.0,720.0,36.8,48.16,34.48,47.48,43.98,49.78,119.0,79.0,119.0,79.0,109.0,99.0,2614.0,720.0
720.0,720.0,720.0,720.0,720.0,720.0,35.14,46.26,34.6,48.36,44.14,48.0,119.0,79.0,119.0,79.0,109.0,99.0,2614.0,720.0
720.0,720.0,720.0,720.0,720.0,720.0,35.62,46.8,35.08,47.3,43.42,49.82,119.0,79.0,119.0,79.0,109.0,99.0,2614.0,720.0
720.0,720.0,720.0,720.0,720.0,720.0,37.12,46.86,34.8,47.68,44.44,49.76,119.0,79.0,119.0,79.0,109.0,99.0,2614.0,720.0
720.0,720.0,720.0,720.0,720.0,720.0,36.12,47.56,35.3,47.72,43.86,49.1,119.0,79.0,119.0,79.0,109.0,99.0,2614.0,720.0
720.0,720.0,720.0,720.0,720.0,720.0,36.08,47.94,36.06,48.04,44.02,49.3,119.0,79.0,119.0,79.0,109.0,99.0,2614.0,720.0
