0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
9.42,15.3,5.96,27.26,7.18,10.14,14.74,19.42,9.76,21.88,17.9,20.66,46.26,32.28,32.14,36.28,43.66,41.52,1017.22,75.26
10.9,69.4,9.7,119.88,13.96,56.5,14.8,54.56,12.92,67.14,21.36,51.78,50.36,89.8,40.08,109.12,53.98,103.22,1918.56,280.34
15.16,148.88,11.82,166.68,24.8,65.06,18.38,81.2,14.04,83.38,30.4,56.8,61.6,136.56,44.82,142.48,76.28,113.54,2510.14,432.4
10.88,185.98,10.16,179.12,21.96,69.9,14.52,89.64,12.66,84.76,27.04,53.54,49.68,147.22,40.8,140.54,67.6,104.52,2413.9,478.0
15.98,164.22,8.92,197.78,16.9,74.2,17.4,79.6,11.42,87.38,22.68,51.58,60.36,132.24,38.54,147.42,57.68,103.0,2356.2,478.0
10.88,188.64,10.46,178.78,20.64,68.6,13.78,88.14,12.66,85.72,25.1,53.08,49.68,147.26,42.56,142.24,63.78,106.22,2416.04,478.0
17.1,190.16,10.48,162.86,29.58,67.82,19.2,82.3,12.0,77.5,29.1,50.7,65.92,135.58,42.42,127.56,73.8,103.32,2427.42,478.0
11.66,190.78,9.56,162.32,19.64,84.04,14.64,85.48,11.38,78.38,23.44,58.64,50.32,143.38,39.16,132.2,58.58,116.98,2378.52,478.0
17.0,155.32,12.12,193.16,33.58,66.82,18.3,75.66,13.1,88.02,32.62,50.64,62.28,125.22,46.58,146.54,81.84,100.16,2432.36,478.0
17.32,182.94,11.68,176.58,22.46,67.02,19.4,85.8,14.04,85.12,26.36,52.46,64.56,142.04,44.72,142.12,66.04,105.9,2487.88,478.0
