0,1,2,3,4,5,6,7,8,9,10,11,12,13
14.6,368.48,13.16,323.76,18.06,99.94,15.58,95.48,60.34,166.14,52.68,158.24,1991.64,720.0
16.2,331.48,14.5,357.82,19.06,94.22,15.52,97.68,62.68,158.24,52.72,164.56,1977.36,720.0
14.6,350.12,14.74,340.54,17.66,99.0,17.26,96.58,60.34,164.54,55.02,162.96,2003.22,720.0
13.0,339.22,18.22,349.56,16.54,98.8,16.0,100.06,58.0,164.62,55.14,166.2,1999.74,720.0
15.44,356.18,18.68,329.7,18.94,101.64,17.78,99.78,62.56,169.12,61.88,165.96,2073.6,720.0
17.42,382.76,14.34,305.48,20.24,103.76,15.9,92.82,64.96,172.36,54.94,154.98,2053.68,720.0
13.0,345.34,11.58,350.08,17.9,97.24,14.34,98.06,58.0,159.86,50.34,163.02,1947.24,720.0
22.86,335.68,14.74,346.72,20.12,101.2,17.14,101.86,67.48,167.7,55.02,170.86,2088.72,720.0
17.42,357.32,11.18,334.08,19.5,105.24,14.62,103.32,64.96,175.56,50.26,170.82,2106.36,720.0
16.2,320.26,14.74,368.8,18.6,98.62,15.68,106.66,62.68,164.52,55.02,175.58,2055.0,720.0
