0,1,2,3,4,5,6,7,8,9,10,11,12,13
12.06,12.0,45.78,686.16,1.32,2.54,4.92,135.92,4.02,4.0,15.26,228.72,11520.0,720.0
12.0,12.0,38.28,693.72,1.3,2.3,3.78,138.8,4.0,4.0,12.76,231.24,11520.0,720.0
12.0,12.0,35.16,696.84,1.04,2.42,3.32,139.52,4.0,4.0,11.72,232.28,11520.0,720.0
12.0,12.0,39.48,692.52,1.14,2.42,3.98,139.74,4.0,4.0,13.16,230.84,11520.0,720.0
12.0,12.0,42.3,689.7,1.2,2.24,4.48,137.18,4.0,4.0,14.1,229.9,11520.0,720.0
12.0,12.0,43.5,688.5,1.24,2.4,4.56,137.98,4.0,4.0,14.5,229.5,11520.0,720.0
12.0,12.0,33.0,699.0,1.28,2.32,3.08,140.06,4.0,4.0,11.0,233.0,11520.0,720.0
12.0,12.0,33.6,698.4,0.92,2.1,2.94,139.32,4.0,4.0,11.2,232.8,11520.0,720.0
12.0,12.0,43.62,688.38,1.26,2.34,4.6,137.68,4.0,4.0,14.54,229.46,11520.0,720.0
12.0,12.24,34.5,697.26,1.34,2.36,3.14,137.8,4.0,4.08,11.5,232.42,11520.0,720.0
