0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
18.0,18.0,44.46,656.16,28.44,44.94,1.66,3.5,4.48,131.14,3.66,7.64,6.0,6.0,14.82,218.72,9.48,14.98,15360.0,720.0
18.0,18.0,41.16,664.2,25.8,42.84,1.84,3.96,4.18,132.06,3.36,7.32,6.0,6.0,13.72,221.4,8.6,14.28,15360.0,720.0
18.0,18.0,40.98,666.54,26.04,40.44,2.0,3.48,4.22,132.62,3.44,6.84,6.0,6.0,13.66,222.18,8.68,13.48,15360.0,720.0
18.0,18.0,41.16,670.8,25.98,36.06,1.92,3.56,4.16,132.64,3.34,5.8,6.0,6.0,13.72,223.6,8.66,12.02,15360.0,720.0
18.0,18.0,42.12,667.26,25.86,38.76,1.9,3.36,4.14,130.28,3.32,6.38,6.0,6.0,14.04,222.42,8.62,12.92,15360.0,720.0
18.0,18.06,40.02,655.98,27.9,50.04,1.52,3.48,3.8,128.94,3.56,8.64,6.0,6.02,13.34,218.66,9.3,16.68,15360.0,720.0
18.0,18.0,39.06,673.86,23.88,37.2,1.82,3.62,4.04,134.74,3.0,6.32,6.0,6.0,13.02,224.62,7.96,12.4,15360.0,720.0
18.0,18.0,37.32,667.08,26.34,43.26,1.92,3.78,3.68,133.36,3.4,7.66,6.0,6.0,12.44,222.36,8.78,14.42,15360.0,720.0
18.0,18.0,41.76,666.12,26.04,40.08,1.6,3.52,4.28,133.02,3.4,6.66,6.0,6.0,13.92,222.04,8.68,13.36,15360.0,720.0
18.0,18.0,38.88,664.32,29.88,40.92,1.84,3.38,3.62,132.36,4.2,6.64,6.0,6.0,12.96,221.44,9.96,13.64,15360.0,720.0
