0,1,2,3,4,5,6,7,8,9,10,11,12,13
31.7,83.7,34.4,80.8,1.78,9.72,2.16,9.6,6.34,16.74,6.88,16.16,1008.0,102.4
37.3,145.3,34.3,157.2,2.4,16.94,2.16,19.2,7.46,29.06,6.86,31.44,2016.0,192.6
32.96,226.9,40.52,223.9,2.04,27.5,2.74,27.6,6.6,45.38,8.14,44.78,3024.0,288.82
33.3,332.5,33.8,289.8,1.98,39.58,1.98,35.2,6.68,66.5,6.76,57.96,4032.0,377.3
27.46,345.1,33.64,334.4,1.38,41.72,2.04,39.82,5.58,69.02,6.78,66.88,4992.0,447.24
37.96,430.2,46.9,431.5,2.38,51.48,3.26,52.5,7.6,86.04,9.38,86.3,5328.0,534.26
36.6,412.0,32.6,463.4,2.26,49.34,1.94,56.3,7.32,82.4,6.52,92.68,5328.0,524.7
34.44,356.2,34.74,388.5,2.06,41.58,2.14,45.42,6.96,71.24,6.96,77.7,5328.0,490.28
31.96,349.0,41.5,375.5,1.9,40.96,2.8,43.76,6.4,69.8,8.44,75.1,5328.0,506.5
27.68,419.0,31.36,424.7,1.42,51.32,1.7,50.78,5.62,83.8,6.28,84.94,5328.0,486.64
