0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
37.44,71.6,40.22,67.1,49.92,55.34,2.28,8.44,2.48,7.8,4.08,5.48,7.5,14.32,8.06,13.42,10.02,11.12,1024.0,79.26
42.62,132.7,45.22,118.6,72.84,98.86,2.76,15.84,3.06,13.4,6.04,9.98,8.56,26.54,9.22,23.72,14.72,20.12,2048.0,157.68
36.64,173.3,39.6,185.4,79.68,120.04,2.1,20.3,2.26,22.4,6.94,11.78,7.44,34.66,7.92,37.08,16.1,24.16,3008.0,229.54
48.4,258.3,45.32,260.2,86.8,149.32,3.0,31.18,2.68,30.7,7.14,15.08,9.68,51.66,9.08,52.04,17.36,29.88,4032.0,309.92
39.5,293.6,41.24,288.4,79.06,146.02,2.52,35.92,2.42,34.36,6.3,14.44,7.9,58.72,8.3,57.68,16.04,29.46,4992.0,367.86
39.8,383.4,39.1,370.9,110.4,194.7,2.26,46.62,2.3,44.62,9.24,18.72,7.96,76.68,7.82,74.18,22.08,38.94,6016.0,470.0
43.0,385.3,48.96,419.5,76.02,226.92,2.62,45.38,3.24,49.78,6.06,22.88,8.6,77.06,9.82,83.9,15.24,45.78,6720.0,497.34
48.9,379.2,41.42,336.6,100.14,220.24,3.24,44.94,2.46,39.84,8.38,22.76,9.84,75.84,8.34,67.32,20.12,45.06,6720.0,478.56
35.4,426.2,50.3,412.0,68.3,194.3,1.94,51.26,3.14,49.76,5.18,19.9,7.08,85.24,10.06,82.4,13.66,38.86,6720.0,516.7
41.3,399.2,41.84,421.9,106.24,201.3,2.42,48.18,2.5,50.88,8.96,20.02,8.26,79.84,8.38,84.38,21.68,40.26,6720.0,513.84
