0,1,2,3,4,5,6,7,8,9,10,11,12,13
5.0,5.0,24.8,480.2,6.84,3.02,6.94,3.14,23.0,5.0,23.0,5.0,252.0,500.0
8.0,8.0,8.0,500.0,10.84,9.46,10.82,8.98,36.0,15.0,36.0,15.0,459.0,500.0
11.0,11.0,11.0,500.0,14.88,14.54,14.68,14.22,48.0,24.0,48.0,24.0,648.0,500.0
14.0,14.0,14.0,500.0,17.78,19.32,17.66,19.08,58.0,32.0,58.0,32.0,810.0,500.0
19.0,28.62,38.24,500.0,21.08,24.96,21.72,24.86,71.0,42.0,71.0,42.0,1017.0,500.0
25.0,34.5,101.0,500.0,25.12,31.4,25.26,30.6,84.0,52.0,84.0,52.0,1224.0,500.0
33.0,42.34,154.42,500.0,28.38,37.14,29.36,36.5,96.0,61.0,96.0,61.0,1413.0,500.0
47.0,92.3,182.9,500.0,32.4,41.66,32.06,41.64,108.0,70.0,108.0,70.0,1602.0,500.0
100.0,100.0,100.0,500.0,35.64,47.7,36.04,47.38,119.0,79.0,119.0,79.0,1782.0,500.0
100.0,108.0,108.0,500.0,35.68,46.42,35.02,47.68,119.0,79.0,119.0,79.0,1782.0,500.0
