0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4.0,113.12,4.0,390.88,4.0,4.0,5.9,0.64,5.62,0.6,10.02,6.98,18.0,1.0,18.0,1.0,23.0,13.0,330.0,500.0
5.0,14.9,14.9,460.4,14.9,14.9,7.48,2.94,6.98,3.06,11.3,8.36,23.0,5.0,23.0,5.0,27.0,17.0,428.0,500.0
7.0,7.0,7.0,500.0,7.0,7.0,9.64,7.36,9.84,7.42,13.72,12.84,32.0,12.0,32.0,12.0,35.0,25.0,636.0,500.0
9.0,9.0,9.0,490.18,9.0,18.82,11.56,10.3,11.96,11.0,16.42,16.76,40.0,18.0,40.0,18.0,42.0,32.0,818.0,500.0
11.0,11.0,11.0,490.22,11.0,20.78,14.66,14.92,14.48,14.38,20.36,19.94,48.0,24.0,48.0,24.0,49.0,39.0,1000.0,500.0
14.0,23.72,52.88,490.28,14.0,52.88,17.44,19.64,17.88,19.22,23.08,22.78,58.0,32.0,58.0,32.0,57.0,47.0,1226.0,500.0
17.0,17.0,45.98,500.0,17.0,84.62,19.38,23.3,20.4,23.4,26.08,27.24,66.0,39.0,66.0,39.0,64.0,54.0,1417.0,500.0
21.0,40.16,40.16,500.0,21.0,116.8,23.48,27.98,23.18,27.66,30.14,30.96,76.0,46.0,76.0,46.0,73.0,63.0,1642.0,500.0
25.0,25.0,72.5,500.0,34.5,243.5,25.94,30.66,25.88,31.62,31.86,34.64,84.0,52.0,84.0,52.0,79.0,69.0,1816.0,500.0
31.0,31.0,59.14,500.0,31.0,227.98,27.26,35.22,27.98,34.78,34.3,38.06,93.0,59.0,93.0,59.0,87.0,77.0,2024.0,500.0
