0,1,2,3,4,5,6,7,8,9,10,11,12,13
496.14,720.0,720.0,720.0,23.86,28.04,25.12,26.98,74.92,45.14,74.92,45.14,1080.54,720.0
34.4,720.0,720.0,720.0,24.38,28.34,24.78,27.84,74.52,44.8,74.52,44.8,1073.88,720.0
19.64,663.9,720.0,720.0,25.34,27.98,23.26,27.56,72.76,43.5,72.76,43.5,1046.34,720.0
20.2,552.04,664.02,720.0,24.4,28.3,23.88,28.24,74.02,44.5,74.02,44.5,1066.68,720.0
20.32,426.32,635.98,720.0,24.7,27.98,23.78,28.0,74.34,44.7,74.34,44.7,1071.36,720.0
20.6,258.4,538.14,720.0,24.66,28.4,24.1,28.56,74.96,45.18,74.96,45.18,1081.26,720.0
20.38,174.24,300.22,720.0,24.84,28.42,22.6,28.88,74.48,44.8,74.48,44.8,1073.52,720.0
20.04,90.0,314.04,720.0,24.44,28.02,24.14,28.0,73.62,44.2,73.62,44.2,1060.38,720.0
20.24,48.18,146.24,720.0,24.0,28.32,23.6,28.6,74.16,44.62,74.16,44.62,1069.02,720.0
20.6,34.58,62.52,720.0,24.76,27.92,23.52,28.88,75.0,45.22,75.0,45.22,1081.98,720.0
