0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
96.68,705.86,720.0,720.0,720.0,720.0,15.4,16.78,15.38,16.38,21.52,21.98,50.16,26.04,50.16,26.04,51.04,41.04,1054.12,720.0
25.86,663.34,663.34,720.0,535.86,720.0,15.7,16.2,16.64,16.1,21.02,21.62,50.14,26.04,50.14,26.04,51.04,41.04,1053.94,720.0
11.54,564.12,535.86,720.0,464.88,691.68,15.44,16.78,15.32,15.78,21.68,21.4,49.68,25.62,49.68,25.62,50.62,40.62,1042.66,720.0
11.78,252.5,422.6,720.0,309.26,649.22,15.26,16.14,16.06,17.16,21.36,21.88,50.44,26.34,50.44,26.34,51.34,41.34,1061.74,720.0
11.78,210.06,422.56,720.0,167.58,663.34,16.18,16.7,16.12,16.5,21.14,21.68,50.38,26.3,50.38,26.3,51.3,41.3,1060.52,720.0
11.72,110.86,295.1,720.0,110.94,564.16,15.48,16.18,15.92,16.36,20.72,21.18,50.22,26.14,50.22,26.14,51.14,41.14,1056.36,720.0
11.72,68.4,224.28,720.0,96.72,465.02,15.66,16.54,15.78,16.92,22.08,21.0,50.2,26.16,50.2,26.16,51.16,41.16,1056.52,720.0
11.54,54.02,280.78,720.0,54.02,394.18,16.14,15.68,16.6,15.58,22.22,21.02,49.66,25.62,49.66,25.62,50.62,40.62,1042.48,720.0
11.88,40.18,139.38,720.0,54.38,351.82,16.44,16.74,15.76,16.04,20.96,21.54,50.84,26.64,50.84,26.64,51.64,41.64,1070.44,720.0
11.8,11.8,139.22,720.0,11.8,238.46,15.98,16.4,15.72,15.88,20.84,21.28,50.54,26.4,50.54,26.4,51.4,41.4,1063.66,720.0
