0,1,2,3,4,5,6,7,8,9,10,11,12,13
5.0,6.18,5.24,104.12,7.24,4.76,6.78,150.06,23.0,7.88,24.28,248.6,1005.24,105.54
8.0,8.0,8.0,215.36,11.56,8.54,11.7,316.32,36.0,15.0,36.0,530.0,2004.0,215.36
11.0,11.0,11.0,326.48,14.22,14.42,14.74,489.6,48.0,24.0,48.0,808.74,3002.22,326.48
14.0,14.0,14.0,441.12,17.64,19.46,18.18,656.26,58.0,32.0,58.0,1097.0,4005.0,441.12
19.0,29.44,44.52,495.72,21.4,38.52,47.5,740.48,71.0,65.76,156.06,1231.74,4983.96,495.72
25.12,56.22,93.68,497.56,24.78,72.32,103.68,741.94,84.64,122.72,346.46,1237.7,5996.94,497.56
33.0,92.44,134.28,498.14,29.28,118.42,153.1,731.26,96.0,197.02,512.42,1223.64,6966.36,498.14
47.16,108.96,212.78,498.62,32.18,125.3,247.0,720.96,108.72,211.0,813.82,1199.78,7961.04,498.62
101.04,222.02,275.2,499.32,38.24,214.6,285.4,644.9,125.1,358.1,953.64,1072.5,8980.62,499.32
101.62,266.42,291.92,499.36,38.9,282.18,315.46,639.82,128.42,469.98,1058.86,1072.6,9988.56,499.36
