0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
21.46,51.58,52.54,52.54,52.42,52.54,32.24,73.82,91.16,75.46,147.22,105.86,107.58,123.0,294.78,125.02,362.48,211.36,4941.36,52.54
11.9,52.3,54.56,55.82,54.12,55.3,16.4,75.02,93.8,80.98,153.18,112.74,51.54,125.16,307.5,133.74,376.2,223.0,4781.8,55.82
12.02,48.44,53.76,62.66,47.04,61.92,16.54,70.02,91.68,90.9,127.9,127.4,51.88,115.98,300.64,151.02,319.96,250.4,4646.04,62.66
11.62,45.5,53.44,69.88,40.1,68.2,15.6,67.76,91.28,101.4,108.32,139.62,49.9,109.36,300.94,169.84,267.06,279.32,4553.6,69.88
11.78,37.4,43.22,83.56,33.34,80.02,15.24,54.54,70.52,122.38,85.82,171.42,50.42,89.18,234.94,203.76,211.72,338.76,4356.1,83.56
11.74,30.62,38.8,96.46,26.2,91.4,15.82,44.46,60.9,145.04,61.68,192.52,50.36,71.92,202.48,236.28,152.72,385.48,4202.88,96.46
11.76,22.42,33.88,107.06,24.34,94.3,15.98,31.02,52.88,159.66,55.76,202.66,50.38,52.04,173.6,262.66,136.88,402.9,4082.78,107.06
11.7,21.68,33.26,125.62,21.28,91.64,16.6,30.36,50.52,186.3,45.46,188.7,50.18,50.1,162.52,309.46,112.58,378.08,3980.44,125.62
11.5,19.4,26.92,149.48,20.74,79.32,15.72,27.42,40.64,223.44,43.4,161.52,49.52,44.44,131.42,368.94,105.0,322.78,3776.08,149.48
11.76,17.14,21.26,189.22,18.98,59.5,16.0,24.28,29.44,285.64,38.64,117.54,50.46,39.14,96.72,469.08,91.08,231.88,3526.84,189.22
