0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.0,0.0,0.0,125.0,0.0,0.0,0.0,200.32,0.0,0.0,0.0,335.0,1005.0,125.0
0.0,0.0,0.0,258.0,0.0,0.0,0.0,400.98,0.0,0.0,0.0,669.0,2007.0,258.0
0.0,0.0,0.0,391.0,0.0,0.0,0.0,602.6,0.0,0.0,0.0,1002.0,3006.0,391.0
0.0,15.92,0.0,485.08,0.0,27.22,0.0,740.3,0.0,46.14,0.0,1238.04,3990.96,485.08
0.0,78.84,0.0,477.4,0.0,123.02,0.0,731.3,0.0,203.4,0.0,1219.08,4877.64,477.4
0.0,141.2,0.0,472.32,0.0,223.0,0.0,726.7,0.0,371.34,0.0,1206.24,5846.76,472.32
0.0,205.9,0.0,475.74,0.0,322.74,0.0,727.42,0.0,539.04,0.0,1214.94,6879.06,475.74
0.0,272.22,0.0,482.16,0.0,414.86,0.0,741.68,0.0,696.9,0.0,1231.2,7875.0,482.16
0.0,332.38,0.0,477.34,0.0,520.12,0.0,727.98,0.0,865.62,0.0,1219.02,8850.78,477.34
0.0,406.72,0.0,486.18,0.0,617.14,0.0,742.88,0.0,1034.26,0.0,1240.66,9929.04,486.18
