,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,31.0,31.0,31.0,31.0,31.0,31.0,34.0,39.0,22.0,42.0,36.0,34.0,93.0,59.0,93.0,59.0,87.0,77.0,2024.0,31.0
1,31.0,31.0,31.0,31.0,31.0,31.0,32.0,34.0,27.0,31.0,39.0,40.0,93.0,59.0,93.0,59.0,87.0,77.0,2024.0,31.0
2,31.0,31.0,31.0,31.0,31.0,31.0,26.0,36.0,30.0,34.0,34.0,36.0,93.0,59.0,93.0,59.0,87.0,77.0,2024.0,31.0
3,31.0,31.0,31.0,31.0,31.0,31.0,20.0,34.0,33.0,33.0,38.0,42.0,93.0,59.0,93.0,59.0,87.0,77.0,2024.0,31.0
4,31.0,31.0,31.0,31.0,31.0,31.0,28.0,37.0,22.0,32.0,39.0,37.0,93.0,59.0,93.0,59.0,87.0,77.0,2024.0,31.0
5,31.0,31.0,31.0,31.0,31.0,31.0,23.0,38.0,29.0,38.0,30.0,41.0,93.0,59.0,93.0,59.0,87.0,77.0,2024.0,31.0
6,31.0,31.0,31.0,31.0,31.0,31.0,30.0,33.0,34.0,34.0,30.0,38.0,93.0,59.0,93.0,59.0,87.0,77.0,2024.0,31.0
7,31.0,31.0,31.0,31.0,31.0,31.0,25.0,33.0,30.0,34.0,42.0,46.0,93.0,59.0,93.0,59.0,87.0,77.0,2024.0,31.0
8,31.0,31.0,31.0,31.0,31.0,31.0,32.0,35.0,27.0,34.0,31.0,30.0,93.0,59.0,93.0,59.0,87.0,77.0,2024.0,31.0
9,31.0,31.0,31.0,31.0,31.0,31.0,25.0,41.0,25.0,36.0,34.0,37.0,93.0,59.0,93.0,59.0,87.0,77.0,2024.0,31.0
10,31.0,31.0,31.0,31.0,31.0,31.0,24.0,37.0,36.0,37.0,29.0,40.0,93.0,59.0,93.0,59.0,87.0,77.0,2024.0,31.0
11,31.0,31.0,31.0,31.0,31.0,31.0,32.0,35.0,23.0,32.0,36.0,41.0,93.0,59.0,93.0,59.0,87.0,77.0,2024.0,31.0
