,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,10.0,90.0,8.0,370.0,11.0,68.0,7.0,106.0,48.0,96.0,40.0,175.0,1509.0,478.0
1,10.0,230.0,8.0,230.0,15.0,87.0,15.0,101.0,48.0,175.0,40.0,175.0,1983.0,478.0
2,10.0,230.0,8.0,230.0,18.0,102.0,12.0,110.0,48.0,175.0,40.0,175.0,1983.0,478.0
3,10.0,230.0,8.0,230.0,18.0,113.0,11.0,105.0,48.0,175.0,40.0,175.0,1983.0,478.0
4,10.0,230.0,8.0,230.0,13.0,108.0,13.0,94.0,48.0,175.0,40.0,175.0,1983.0,478.0
5,10.0,230.0,8.0,230.0,13.0,98.0,9.0,105.0,48.0,175.0,40.0,175.0,1983.0,478.0
6,10.0,230.0,8.0,230.0,14.0,102.0,14.0,103.0,48.0,175.0,40.0,175.0,1983.0,478.0
7,10.0,230.0,8.0,230.0,15.0,92.0,14.0,111.0,48.0,175.0,40.0,175.0,1983.0,478.0
8,10.0,8.0,8.0,452.0,15.0,11.0,11.0,104.0,48.0,18.0,40.0,176.0,1044.0,478.0
9,10.0,8.0,8.0,452.0,12.0,11.0,10.0,113.0,48.0,18.0,40.0,176.0,1044.0,478.0
10,10.0,230.0,8.0,230.0,13.0,102.0,7.0,104.0,48.0,175.0,40.0,175.0,1983.0,478.0
11,10.0,230.0,8.0,230.0,17.0,105.0,14.0,101.0,48.0,175.0,40.0,175.0,1983.0,478.0
12,10.0,230.0,8.0,230.0,16.0,102.0,14.0,103.0,48.0,175.0,40.0,175.0,1983.0,478.0
13,10.0,148.0,8.0,312.0,19.0,53.0,10.0,108.0,48.0,97.0,40.0,176.0,1518.0,478.0
14,10.0,204.0,62.0,202.0,10.0,114.0,52.0,99.0,48.0,171.0,152.0,170.0,2280.0,478.0
15,10.0,90.0,8.0,370.0,15.0,63.0,9.0,100.0,48.0,96.0,40.0,175.0,1509.0,478.0
16,51.0,189.0,49.0,189.0,36.0,109.0,53.0,105.0,152.0,165.0,144.0,165.0,2829.0,478.0
17,10.0,230.0,8.0,230.0,17.0,94.0,11.0,107.0,48.0,175.0,40.0,175.0,1983.0,478.0
18,10.0,452.0,8.0,8.0,21.0,111.0,13.0,8.0,48.0,176.0,40.0,18.0,1518.0,478.0
19,10.0,230.0,8.0,230.0,15.0,107.0,11.0,96.0,48.0,175.0,40.0,175.0,1983.0,478.0
20,10.0,148.0,8.0,312.0,14.0,59.0,10.0,107.0,48.0,97.0,40.0,176.0,1518.0,478.0
21,10.0,312.0,8.0,148.0,16.0,99.0,18.0,54.0,48.0,176.0,40.0,97.0,1755.0,478.0
22,10.0,452.0,8.0,8.0,15.0,105.0,6.0,13.0,48.0,176.0,40.0,18.0,1518.0,478.0
23,10.0,230.0,8.0,230.0,13.0,104.0,12.0,95.0,48.0,175.0,40.0,175.0,1983.0,478.0
24,10.0,230.0,8.0,230.0,18.0,95.0,8.0,103.0,48.0,175.0,40.0,175.0,1983.0,478.0
25,10.0,230.0,8.0,230.0,15.0,108.0,10.0,99.0,48.0,175.0,40.0,175.0,1983.0,478.0
26,10.0,8.0,8.0,452.0,20.0,12.0,13.0,102.0,48.0,18.0,40.0,176.0,1044.0,478.0
27,10.0,230.0,8.0,230.0,16.0,103.0,10.0,105.0,48.0,175.0,40.0,175.0,1983.0,478.0
28,10.0,204.0,62.0,202.0,15.0,107.0,48.0,114.0,48.0,171.0,152.0,170.0,2280.0,478.0
29,10.0,452.0,8.0,8.0,19.0,103.0,11.0,10.0,48.0,176.0,40.0,18.0,1518.0,478.0
30,10.0,230.0,8.0,230.0,16.0,105.0,10.0,107.0,48.0,175.0,40.0,175.0,1983.0,478.0
31,10.0,230.0,8.0,230.0,14.0,104.0,17.0,102.0,48.0,175.0,40.0,175.0,1983.0,478.0
32,10.0,312.0,8.0,148.0,11.0,101.0,20.0,51.0,48.0,176.0,40.0,97.0,1755.0,478.0
33,66.0,62.0,8.0,342.0,52.0,48.0,14.0,103.0,160.0,91.0,40.0,170.0,2136.0,478.0
34,10.0,230.0,8.0,230.0,14.0,109.0,17.0,109.0,48.0,175.0,40.0,175.0,1983.0,478.0
35,10.0,230.0,8.0,230.0,19.0,110.0,10.0,99.0,48.0,175.0,40.0,175.0,1983.0,478.0
36,10.0,230.0,8.0,230.0,21.0,97.0,9.0,104.0,48.0,175.0,40.0,175.0,1983.0,478.0
37,10.0,230.0,8.0,230.0,14.0,108.0,15.0,106.0,48.0,175.0,40.0,175.0,1983.0,478.0
38,10.0,148.0,8.0,312.0,14.0,51.0,10.0,103.0,48.0,97.0,40.0,176.0,1518.0,478.0
39,10.0,230.0,8.0,230.0,18.0,105.0,13.0,100.0,48.0,175.0,40.0,175.0,1983.0,478.0
40,10.0,204.0,62.0,202.0,15.0,105.0,40.0,105.0,48.0,171.0,152.0,170.0,2280.0,478.0
41,10.0,230.0,8.0,230.0,16.0,112.0,8.0,106.0,48.0,175.0,40.0,175.0,1983.0,478.0
42,10.0,452.0,8.0,8.0,9.0,99.0,11.0,7.0,48.0,176.0,40.0,18.0,1518.0,478.0
43,104.0,101.0,8.0,265.0,49.0,62.0,8.0,110.0,166.0,97.0,40.0,176.0,2226.0,478.0
44,10.0,230.0,8.0,230.0,22.0,108.0,13.0,105.0,48.0,175.0,40.0,175.0,1983.0,478.0
45,10.0,204.0,62.0,202.0,14.0,98.0,47.0,111.0,48.0,171.0,152.0,170.0,2280.0,478.0
46,10.0,230.0,8.0,230.0,17.0,109.0,9.0,98.0,48.0,175.0,40.0,175.0,1983.0,478.0
