,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,8.0,7.0,7.0,346.0,345.0,7.0,14.0,5.0,13.0,97.0,102.0,20.0,40.0,15.0,36.0,173.0,257.0,29.0,2101.0,720.0
1,8.0,180.0,7.0,175.0,175.0,175.0,11.0,102.0,11.0,120.0,100.0,110.0,40.0,169.0,36.0,169.0,252.0,222.0,3765.0,720.0
2,8.0,154.0,7.0,391.0,7.0,153.0,12.0,52.0,8.0,105.0,15.0,64.0,40.0,94.0,36.0,173.0,39.0,128.0,2099.0,720.0
3,58.0,274.0,7.0,273.0,54.0,54.0,46.0,91.0,13.0,95.0,48.0,61.0,150.0,165.0,36.0,165.0,139.0,119.0,3525.0,720.0
4,8.0,307.0,7.0,305.0,7.0,86.0,9.0,102.0,7.0,99.0,12.0,69.0,40.0,172.0,36.0,172.0,39.0,127.0,2560.0,720.0
5,8.0,346.0,7.0,345.0,7.0,7.0,10.0,104.0,14.0,110.0,13.0,21.0,40.0,173.0,36.0,173.0,39.0,29.0,2177.0,720.0
6,8.0,346.0,7.0,7.0,7.0,345.0,8.0,91.0,15.0,9.0,19.0,104.0,40.0,173.0,36.0,15.0,39.0,227.0,2495.0,720.0
7,8.0,288.0,7.0,285.0,66.0,66.0,10.0,102.0,10.0,93.0,61.0,53.0,40.0,169.0,36.0,169.0,143.0,123.0,2933.0,720.0
8,8.0,392.0,7.0,7.0,153.0,153.0,12.0,111.0,21.0,10.0,70.0,67.0,40.0,173.0,36.0,15.0,148.0,128.0,2535.0,720.0
9,8.0,346.0,7.0,345.0,7.0,7.0,13.0,109.0,15.0,91.0,14.0,18.0,40.0,173.0,36.0,173.0,39.0,29.0,2177.0,720.0
10,8.0,307.0,7.0,305.0,86.0,7.0,8.0,103.0,11.0,105.0,62.0,10.0,40.0,172.0,36.0,172.0,147.0,29.0,2600.0,720.0
11,8.0,346.0,7.0,345.0,7.0,7.0,12.0,94.0,7.0,103.0,18.0,15.0,40.0,173.0,36.0,173.0,39.0,29.0,2177.0,720.0
12,8.0,7.0,7.0,346.0,7.0,345.0,9.0,10.0,10.0,90.0,20.0,113.0,40.0,15.0,36.0,173.0,39.0,227.0,2021.0,720.0
13,8.0,7.0,7.0,465.0,7.0,226.0,9.0,12.0,14.0,106.0,12.0,65.0,40.0,15.0,36.0,173.0,39.0,128.0,1625.0,720.0
14,8.0,565.0,7.0,7.0,7.0,126.0,13.0,113.0,14.0,11.0,19.0,53.0,40.0,173.0,36.0,15.0,39.0,128.0,2099.0,720.0
15,8.0,684.0,7.0,7.0,7.0,7.0,13.0,110.0,10.0,11.0,21.0,16.0,40.0,173.0,36.0,15.0,39.0,29.0,1703.0,720.0
16,69.0,286.0,7.0,285.0,7.0,66.0,48.0,103.0,12.0,99.0,13.0,59.0,154.0,169.0,36.0,169.0,39.0,123.0,3201.0,720.0
17,8.0,199.0,7.0,195.0,116.0,195.0,10.0,105.0,13.0,90.0,58.0,100.0,40.0,172.0,36.0,172.0,148.0,226.0,3392.0,720.0
18,8.0,234.0,7.0,232.0,7.0,232.0,13.0,100.0,12.0,114.0,14.0,100.0,40.0,172.0,36.0,172.0,39.0,226.0,2956.0,720.0
19,8.0,215.0,7.0,212.0,66.0,212.0,10.0,101.0,18.0,103.0,60.0,107.0,40.0,169.0,36.0,169.0,143.0,222.0,3329.0,720.0
20,58.0,274.0,54.0,273.0,54.0,7.0,44.0,101.0,43.0,93.0,59.0,15.0,150.0,165.0,144.0,165.0,139.0,29.0,3489.0,720.0
21,8.0,346.0,7.0,126.0,7.0,226.0,15.0,101.0,14.0,49.0,14.0,63.0,40.0,173.0,36.0,94.0,39.0,128.0,2336.0,720.0
22,8.0,307.0,7.0,305.0,86.0,7.0,12.0,107.0,11.0,111.0,72.0,13.0,40.0,172.0,36.0,172.0,147.0,29.0,2600.0,720.0
23,8.0,307.0,7.0,305.0,7.0,86.0,14.0,100.0,15.0,109.0,15.0,72.0,40.0,172.0,36.0,172.0,39.0,127.0,2560.0,720.0
24,8.0,307.0,7.0,305.0,7.0,86.0,11.0,96.0,8.0,105.0,18.0,59.0,40.0,172.0,36.0,172.0,39.0,127.0,2560.0,720.0
25,8.0,215.0,66.0,212.0,7.0,212.0,10.0,114.0,47.0,103.0,13.0,105.0,40.0,169.0,149.0,169.0,39.0,222.0,3252.0,720.0
26,58.0,201.0,7.0,200.0,54.0,200.0,50.0,93.0,6.0,97.0,66.0,117.0,150.0,165.0,36.0,165.0,139.0,218.0,3921.0,720.0
27,8.0,234.0,7.0,232.0,7.0,232.0,10.0,107.0,11.0,97.0,10.0,114.0,40.0,172.0,36.0,172.0,39.0,226.0,2956.0,720.0
28,58.0,274.0,7.0,273.0,54.0,54.0,40.0,103.0,12.0,99.0,62.0,66.0,150.0,165.0,36.0,165.0,139.0,119.0,3525.0,720.0
29,8.0,346.0,7.0,345.0,7.0,7.0,14.0,108.0,10.0,101.0,21.0,15.0,40.0,173.0,36.0,173.0,39.0,29.0,2177.0,720.0
30,8.0,288.0,7.0,285.0,66.0,66.0,4.0,92.0,11.0,103.0,46.0,51.0,40.0,169.0,36.0,169.0,143.0,123.0,2933.0,720.0
31,8.0,346.0,7.0,345.0,7.0,7.0,13.0,104.0,8.0,113.0,16.0,10.0,40.0,173.0,36.0,173.0,39.0,29.0,2177.0,720.0
32,8.0,288.0,7.0,285.0,66.0,66.0,10.0,113.0,15.0,100.0,63.0,62.0,40.0,169.0,36.0,169.0,143.0,123.0,2933.0,720.0
33,8.0,7.0,7.0,565.0,7.0,126.0,11.0,7.0,8.0,106.0,16.0,61.0,40.0,15.0,36.0,173.0,39.0,128.0,1625.0,720.0
34,51.0,266.0,46.0,265.0,46.0,46.0,43.0,103.0,36.0,87.0,52.0,67.0,146.0,161.0,139.0,161.0,134.0,114.0,3734.0,720.0
35,8.0,307.0,7.0,305.0,7.0,86.0,13.0,95.0,7.0,110.0,16.0,63.0,40.0,172.0,36.0,172.0,39.0,127.0,2560.0,720.0
36,8.0,346.0,7.0,345.0,7.0,7.0,13.0,101.0,13.0,101.0,22.0,15.0,40.0,173.0,36.0,173.0,39.0,29.0,2177.0,720.0
37,8.0,684.0,7.0,7.0,7.0,7.0,16.0,105.0,8.0,8.0,16.0,21.0,40.0,173.0,36.0,15.0,39.0,29.0,1703.0,720.0
38,8.0,346.0,7.0,7.0,7.0,345.0,12.0,98.0,7.0,7.0,14.0,110.0,40.0,173.0,36.0,15.0,39.0,227.0,2495.0,720.0
39,8.0,7.0,7.0,684.0,7.0,7.0,13.0,8.0,15.0,98.0,17.0,21.0,40.0,15.0,36.0,173.0,39.0,29.0,1229.0,720.0
40,51.0,266.0,46.0,265.0,46.0,46.0,48.0,95.0,46.0,98.0,40.0,46.0,146.0,161.0,139.0,161.0,134.0,114.0,3734.0,720.0
41,8.0,346.0,7.0,345.0,7.0,7.0,16.0,106.0,15.0,107.0,13.0,15.0,40.0,173.0,36.0,173.0,39.0,29.0,2177.0,720.0
42,8.0,215.0,7.0,212.0,66.0,212.0,15.0,96.0,16.0,107.0,50.0,105.0,40.0,169.0,36.0,169.0,143.0,222.0,3329.0,720.0
43,8.0,346.0,7.0,345.0,7.0,7.0,12.0,102.0,14.0,115.0,14.0,13.0,40.0,173.0,36.0,173.0,39.0,29.0,2177.0,720.0
44,8.0,307.0,7.0,305.0,7.0,86.0,13.0,104.0,12.0,107.0,16.0,61.0,40.0,172.0,36.0,172.0,39.0,127.0,2560.0,720.0
45,8.0,288.0,7.0,285.0,66.0,66.0,12.0,83.0,7.0,100.0,64.0,55.0,40.0,169.0,36.0,169.0,143.0,123.0,2933.0,720.0
46,8.0,7.0,7.0,307.0,86.0,305.0,11.0,9.0,10.0,101.0,61.0,109.0,40.0,15.0,36.0,172.0,147.0,226.0,2446.0,720.0
47,8.0,346.0,7.0,345.0,7.0,7.0,12.0,99.0,10.0,87.0,15.0,12.0,40.0,173.0,36.0,173.0,39.0,29.0,2177.0,720.0
48,8.0,346.0,7.0,345.0,7.0,7.0,15.0,111.0,12.0,104.0,21.0,11.0,40.0,173.0,36.0,173.0,39.0,29.0,2177.0,720.0
49,8.0,87.0,7.0,525.0,86.0,7.0,11.0,56.0,8.0,100.0,57.0,10.0,40.0,93.0,36.0,172.0,147.0,29.0,2126.0,720.0
