,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,12.0,12.0,15.0,717.0,1.0,3.0,0.0,134.0,4.0,4.0,5.0,239.0,11520.0,720.0
1,12.0,12.0,12.0,720.0,2.0,3.0,0.0,140.0,4.0,4.0,4.0,240.0,11520.0,720.0
2,12.0,12.0,12.0,720.0,1.0,3.0,0.0,145.0,4.0,4.0,4.0,240.0,11520.0,720.0
3,12.0,12.0,21.0,711.0,1.0,3.0,1.0,135.0,4.0,4.0,7.0,237.0,11520.0,720.0
4,12.0,12.0,36.0,696.0,3.0,3.0,4.0,146.0,4.0,4.0,12.0,232.0,11520.0,720.0
5,12.0,12.0,12.0,720.0,0.0,0.0,0.0,151.0,4.0,4.0,4.0,240.0,11520.0,720.0
6,12.0,12.0,24.0,708.0,0.0,3.0,2.0,152.0,4.0,4.0,8.0,236.0,11520.0,720.0
7,12.0,12.0,33.0,699.0,2.0,1.0,3.0,141.0,4.0,4.0,11.0,233.0,11520.0,720.0
8,12.0,12.0,18.0,714.0,2.0,1.0,1.0,157.0,4.0,4.0,6.0,238.0,11520.0,720.0
9,12.0,12.0,51.0,681.0,0.0,2.0,7.0,147.0,4.0,4.0,17.0,227.0,11520.0,720.0
10,12.0,12.0,18.0,714.0,0.0,2.0,1.0,150.0,4.0,4.0,6.0,238.0,11520.0,720.0
11,12.0,12.0,21.0,711.0,3.0,2.0,1.0,137.0,4.0,4.0,7.0,237.0,11520.0,720.0
12,12.0,12.0,48.0,684.0,1.0,2.0,6.0,141.0,4.0,4.0,16.0,228.0,11520.0,720.0
13,12.0,12.0,18.0,714.0,3.0,2.0,1.0,161.0,4.0,4.0,6.0,238.0,11520.0,720.0
14,12.0,12.0,36.0,696.0,1.0,3.0,3.0,139.0,4.0,4.0,12.0,232.0,11520.0,720.0
15,12.0,12.0,12.0,720.0,2.0,1.0,0.0,141.0,4.0,4.0,4.0,240.0,11520.0,720.0
16,12.0,12.0,45.0,687.0,0.0,3.0,5.0,138.0,4.0,4.0,15.0,229.0,11520.0,720.0
17,12.0,12.0,15.0,717.0,1.0,2.0,0.0,139.0,4.0,4.0,5.0,239.0,11520.0,720.0
18,12.0,12.0,96.0,636.0,2.0,3.0,14.0,124.0,4.0,4.0,32.0,212.0,11520.0,720.0
19,12.0,12.0,27.0,705.0,1.0,4.0,2.0,145.0,4.0,4.0,9.0,235.0,11520.0,720.0
20,12.0,12.0,45.0,687.0,3.0,2.0,5.0,141.0,4.0,4.0,15.0,229.0,11520.0,720.0
21,12.0,12.0,12.0,720.0,2.0,3.0,0.0,144.0,4.0,4.0,4.0,240.0,11520.0,720.0
22,12.0,12.0,18.0,714.0,2.0,1.0,1.0,150.0,4.0,4.0,6.0,238.0,11520.0,720.0
23,12.0,12.0,12.0,720.0,1.0,1.0,0.0,145.0,4.0,4.0,4.0,240.0,11520.0,720.0
