,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,18.0,18.0,60.0,672.0,18.0,24.0,3.0,4.0,7.0,132.0,1.0,3.0,6.0,6.0,20.0,224.0,6.0,8.0,15360.0,720.0
1,18.0,18.0,24.0,702.0,18.0,30.0,1.0,4.0,1.0,127.0,0.0,4.0,6.0,6.0,8.0,234.0,6.0,10.0,15360.0,720.0
2,18.0,18.0,96.0,630.0,27.0,21.0,2.0,1.0,11.0,115.0,3.0,2.0,6.0,6.0,32.0,210.0,9.0,7.0,15360.0,720.0
3,18.0,18.0,21.0,687.0,18.0,48.0,2.0,2.0,1.0,136.0,0.0,9.0,6.0,6.0,7.0,229.0,6.0,16.0,15360.0,720.0
4,18.0,18.0,72.0,651.0,33.0,18.0,4.0,4.0,9.0,126.0,5.0,2.0,6.0,6.0,24.0,217.0,11.0,6.0,15360.0,720.0
5,18.0,18.0,111.0,627.0,18.0,18.0,3.0,3.0,17.0,124.0,2.0,2.0,6.0,6.0,37.0,209.0,6.0,6.0,15360.0,720.0
6,18.0,18.0,18.0,711.0,18.0,27.0,1.0,3.0,0.0,146.0,2.0,4.0,6.0,6.0,6.0,237.0,6.0,9.0,15360.0,720.0
7,18.0,18.0,33.0,693.0,24.0,24.0,2.0,3.0,3.0,141.0,3.0,3.0,6.0,6.0,11.0,231.0,8.0,8.0,15360.0,720.0
8,18.0,18.0,48.0,660.0,21.0,45.0,2.0,4.0,6.0,136.0,3.0,9.0,6.0,6.0,16.0,220.0,7.0,15.0,15360.0,720.0
9,18.0,18.0,18.0,678.0,21.0,57.0,4.0,4.0,1.0,145.0,3.0,12.0,6.0,6.0,6.0,226.0,7.0,19.0,15360.0,720.0
10,18.0,18.0,21.0,681.0,39.0,33.0,1.0,4.0,1.0,127.0,6.0,5.0,6.0,6.0,7.0,227.0,13.0,11.0,15360.0,720.0
11,18.0,18.0,39.0,699.0,18.0,18.0,0.0,3.0,4.0,143.0,2.0,1.0,6.0,6.0,13.0,233.0,6.0,6.0,15360.0,720.0
12,18.0,18.0,18.0,660.0,78.0,18.0,3.0,3.0,0.0,128.0,15.0,2.0,6.0,6.0,6.0,220.0,26.0,6.0,15360.0,720.0
13,18.0,18.0,51.0,666.0,18.0,39.0,3.0,4.0,6.0,136.0,2.0,7.0,6.0,6.0,17.0,222.0,6.0,13.0,15360.0,720.0
