,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,20.0,20.0,235.0,555.0,1.0,1.0,21.0,71.0,4.0,4.0,47.0,111.0,5328.0,555.0
1,20.0,555.0,45.0,555.0,1.0,73.0,3.0,61.0,4.0,111.0,9.0,111.0,5328.0,555.0
2,20.0,120.0,30.0,555.0,0.0,10.0,2.0,61.0,4.0,24.0,6.0,111.0,5328.0,555.0
3,20.0,555.0,20.0,20.0,0.0,75.0,1.0,0.0,4.0,111.0,4.0,4.0,5328.0,555.0
4,20.0,555.0,20.0,555.0,0.0,72.0,1.0,73.0,4.0,111.0,4.0,111.0,5328.0,555.0
5,20.0,555.0,20.0,555.0,1.0,62.0,1.0,70.0,4.0,111.0,4.0,111.0,5328.0,555.0
6,20.0,20.0,20.0,555.0,1.0,1.0,0.0,72.0,4.0,4.0,4.0,111.0,5328.0,555.0
7,20.0,20.0,55.0,555.0,0.0,1.0,4.0,59.0,4.0,4.0,11.0,111.0,5328.0,555.0
8,110.0,20.0,30.0,555.0,9.0,1.0,2.0,67.0,22.0,4.0,6.0,111.0,5328.0,555.0
9,45.0,555.0,20.0,555.0,3.0,68.0,1.0,74.0,9.0,111.0,4.0,111.0,5328.0,555.0
10,20.0,75.0,20.0,555.0,0.0,6.0,1.0,66.0,4.0,15.0,4.0,111.0,5328.0,555.0
11,30.0,555.0,20.0,555.0,2.0,71.0,1.0,73.0,6.0,111.0,4.0,111.0,5328.0,555.0
12,20.0,20.0,20.0,555.0,0.0,1.0,1.0,64.0,4.0,4.0,4.0,111.0,5328.0,555.0
13,20.0,20.0,20.0,45.0,0.0,1.0,1.0,3.0,4.0,4.0,4.0,9.0,5328.0,45.0
14,65.0,555.0,55.0,555.0,5.0,68.0,4.0,66.0,13.0,111.0,11.0,111.0,5328.0,555.0
15,20.0,555.0,20.0,555.0,0.0,65.0,0.0,71.0,4.0,111.0,4.0,111.0,5328.0,555.0
16,55.0,20.0,20.0,555.0,4.0,1.0,0.0,68.0,11.0,4.0,4.0,111.0,5328.0,555.0
17,30.0,555.0,75.0,555.0,2.0,66.0,6.0,72.0,6.0,111.0,15.0,111.0,5328.0,555.0
18,30.0,555.0,20.0,555.0,2.0,66.0,1.0,65.0,6.0,111.0,4.0,111.0,5328.0,555.0
19,30.0,555.0,20.0,555.0,2.0,72.0,1.0,77.0,6.0,111.0,4.0,111.0,5328.0,555.0
20,75.0,555.0,20.0,140.0,6.0,62.0,0.0,12.0,15.0,111.0,4.0,28.0,5328.0,555.0
21,20.0,555.0,330.0,555.0,1.0,68.0,30.0,79.0,4.0,111.0,66.0,111.0,5328.0,555.0
22,20.0,555.0,65.0,555.0,1.0,67.0,5.0,69.0,4.0,111.0,13.0,111.0,5328.0,555.0
23,20.0,555.0,20.0,555.0,0.0,63.0,0.0,64.0,4.0,111.0,4.0,111.0,5328.0,555.0
24,65.0,555.0,20.0,555.0,5.0,68.0,1.0,64.0,13.0,111.0,4.0,111.0,5328.0,555.0
25,75.0,555.0,20.0,555.0,6.0,71.0,1.0,67.0,15.0,111.0,4.0,111.0,5328.0,555.0
26,140.0,555.0,20.0,20.0,12.0,63.0,1.0,1.0,28.0,111.0,4.0,4.0,5328.0,555.0
27,55.0,555.0,45.0,555.0,4.0,67.0,3.0,69.0,11.0,111.0,9.0,111.0,5328.0,555.0
28,20.0,555.0,30.0,20.0,0.0,68.0,2.0,1.0,4.0,111.0,6.0,4.0,5328.0,555.0
29,30.0,555.0,20.0,555.0,2.0,67.0,1.0,63.0,6.0,111.0,4.0,111.0,5328.0,555.0
30,20.0,555.0,130.0,555.0,1.0,57.0,11.0,76.0,4.0,111.0,26.0,111.0,5328.0,555.0
31,30.0,555.0,65.0,20.0,2.0,69.0,5.0,1.0,6.0,111.0,13.0,4.0,5328.0,555.0
32,30.0,555.0,20.0,555.0,2.0,63.0,1.0,72.0,6.0,111.0,4.0,111.0,5328.0,555.0
33,30.0,555.0,20.0,555.0,2.0,61.0,0.0,67.0,6.0,111.0,4.0,111.0,5328.0,555.0
34,20.0,555.0,225.0,555.0,1.0,67.0,20.0,60.0,4.0,111.0,45.0,111.0,5328.0,555.0
35,20.0,555.0,45.0,555.0,0.0,78.0,3.0,66.0,4.0,111.0,9.0,111.0,5328.0,555.0
36,45.0,20.0,20.0,555.0,3.0,0.0,0.0,68.0,9.0,4.0,4.0,111.0,5328.0,555.0
37,20.0,555.0,20.0,555.0,1.0,66.0,0.0,68.0,4.0,111.0,4.0,111.0,5328.0,555.0
38,20.0,555.0,55.0,555.0,1.0,69.0,4.0,66.0,4.0,111.0,11.0,111.0,5328.0,555.0
39,20.0,555.0,20.0,555.0,0.0,62.0,1.0,70.0,4.0,111.0,4.0,111.0,5328.0,555.0
40,30.0,555.0,30.0,30.0,2.0,70.0,2.0,2.0,6.0,111.0,6.0,6.0,5328.0,555.0
41,55.0,555.0,20.0,45.0,4.0,74.0,1.0,3.0,11.0,111.0,4.0,9.0,5328.0,555.0
42,20.0,555.0,55.0,555.0,1.0,69.0,4.0,73.0,4.0,111.0,11.0,111.0,5328.0,555.0
43,28.0,20.0,20.0,20.0,2.0,1.0,1.0,1.0,6.0,4.0,4.0,4.0,5328.0,28.0
44,20.0,555.0,20.0,555.0,1.0,66.0,0.0,67.0,4.0,111.0,4.0,111.0,5328.0,555.0
45,130.0,45.0,20.0,555.0,11.0,3.0,1.0,66.0,26.0,9.0,4.0,111.0,5328.0,555.0
46,20.0,555.0,100.0,75.0,1.0,63.0,8.0,6.0,4.0,111.0,20.0,15.0,5328.0,555.0
47,20.0,555.0,20.0,555.0,1.0,64.0,1.0,68.0,4.0,111.0,4.0,111.0,5328.0,555.0
48,75.0,555.0,20.0,20.0,6.0,60.0,1.0,1.0,15.0,111.0,4.0,4.0,5328.0,555.0
49,90.0,555.0,45.0,30.0,7.0,67.0,3.0,2.0,18.0,111.0,9.0,6.0,5328.0,555.0
