,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,30.0,80.0,30.0,80.0,30.0,45.0,1.0,10.0,1.0,9.0,2.0,3.0,6.0,16.0,6.0,16.0,6.0,9.0,1024.0,80.0
1,30.0,30.0,30.0,80.0,75.0,30.0,1.0,1.0,1.0,9.0,6.0,2.0,6.0,6.0,6.0,16.0,15.0,6.0,1024.0,80.0
2,30.0,75.0,30.0,80.0,30.0,80.0,1.0,6.0,0.0,7.0,2.0,9.0,6.0,15.0,6.0,16.0,6.0,16.0,1024.0,80.0
3,30.0,80.0,30.0,80.0,30.0,30.0,0.0,10.0,1.0,14.0,2.0,1.0,6.0,16.0,6.0,16.0,6.0,6.0,1024.0,80.0
4,30.0,55.0,30.0,80.0,30.0,80.0,2.0,4.0,2.0,13.0,1.0,7.0,6.0,11.0,6.0,16.0,6.0,16.0,1024.0,80.0
5,30.0,80.0,30.0,30.0,80.0,30.0,1.0,12.0,2.0,2.0,9.0,2.0,6.0,16.0,6.0,6.0,16.0,6.0,1024.0,80.0
6,30.0,80.0,80.0,80.0,65.0,80.0,1.0,9.0,7.0,7.0,5.0,11.0,6.0,16.0,16.0,16.0,13.0,16.0,1024.0,80.0
7,30.0,80.0,30.0,80.0,65.0,80.0,2.0,11.0,1.0,8.0,5.0,10.0,6.0,16.0,6.0,16.0,13.0,16.0,1024.0,80.0
8,30.0,80.0,80.0,80.0,75.0,80.0,1.0,12.0,7.0,11.0,6.0,8.0,6.0,16.0,16.0,16.0,15.0,16.0,1024.0,80.0
9,30.0,80.0,30.0,80.0,30.0,30.0,2.0,11.0,2.0,9.0,1.0,2.0,6.0,16.0,6.0,16.0,6.0,6.0,1024.0,80.0
10,30.0,80.0,65.0,80.0,30.0,80.0,2.0,12.0,5.0,11.0,2.0,10.0,6.0,16.0,13.0,16.0,6.0,16.0,1024.0,80.0
11,30.0,80.0,80.0,80.0,80.0,80.0,2.0,11.0,8.0,11.0,7.0,8.0,6.0,16.0,16.0,16.0,16.0,16.0,1024.0,80.0
12,30.0,45.0,30.0,80.0,80.0,30.0,2.0,3.0,1.0,9.0,8.0,2.0,6.0,9.0,6.0,16.0,16.0,6.0,1024.0,80.0
13,80.0,80.0,30.0,80.0,80.0,80.0,7.0,11.0,1.0,8.0,10.0,8.0,16.0,16.0,6.0,16.0,16.0,16.0,1024.0,80.0
14,30.0,80.0,30.0,30.0,30.0,80.0,1.0,9.0,2.0,2.0,1.0,7.0,6.0,16.0,6.0,6.0,6.0,16.0,1024.0,80.0
15,30.0,80.0,80.0,80.0,30.0,30.0,1.0,10.0,8.0,11.0,1.0,1.0,6.0,16.0,16.0,16.0,6.0,6.0,1024.0,80.0
16,30.0,80.0,30.0,80.0,30.0,30.0,1.0,10.0,1.0,9.0,2.0,2.0,6.0,16.0,6.0,16.0,6.0,6.0,1024.0,80.0
17,30.0,80.0,30.0,80.0,55.0,30.0,2.0,10.0,1.0,9.0,4.0,1.0,6.0,16.0,6.0,16.0,11.0,6.0,1024.0,80.0
18,30.0,80.0,80.0,80.0,80.0,30.0,2.0,9.0,7.0,10.0,9.0,1.0,6.0,16.0,16.0,16.0,16.0,6.0,1024.0,80.0
19,65.0,30.0,45.0,80.0,80.0,80.0,5.0,1.0,3.0,8.0,7.0,9.0,13.0,6.0,9.0,16.0,16.0,16.0,1024.0,80.0
20,77.0,65.0,55.0,45.0,73.0,77.0,7.0,5.0,4.0,3.0,6.0,14.0,16.0,13.0,11.0,9.0,15.0,16.0,1024.0,77.0
21,30.0,30.0,30.0,55.0,75.0,30.0,1.0,2.0,2.0,4.0,8.0,2.0,6.0,6.0,6.0,11.0,16.0,6.0,1024.0,75.0
22,30.0,80.0,45.0,45.0,30.0,80.0,1.0,8.0,3.0,3.0,1.0,10.0,6.0,16.0,9.0,9.0,6.0,16.0,1024.0,80.0
23,30.0,80.0,55.0,80.0,30.0,80.0,2.0,11.0,4.0,12.0,1.0,11.0,6.0,16.0,11.0,16.0,6.0,16.0,1024.0,80.0
24,55.0,30.0,30.0,80.0,80.0,30.0,4.0,1.0,2.0,13.0,8.0,1.0,11.0,6.0,6.0,16.0,16.0,6.0,1024.0,80.0
25,55.0,80.0,30.0,80.0,30.0,80.0,4.0,12.0,1.0,7.0,2.0,7.0,11.0,16.0,6.0,16.0,6.0,16.0,1024.0,80.0
26,30.0,80.0,30.0,80.0,30.0,30.0,2.0,13.0,1.0,10.0,2.0,1.0,6.0,16.0,6.0,16.0,6.0,6.0,1024.0,80.0
27,30.0,80.0,30.0,80.0,30.0,80.0,1.0,8.0,1.0,13.0,1.0,12.0,6.0,16.0,6.0,16.0,6.0,16.0,1024.0,80.0
28,30.0,80.0,45.0,80.0,30.0,80.0,1.0,12.0,3.0,10.0,2.0,9.0,6.0,16.0,9.0,16.0,6.0,16.0,1024.0,80.0
29,45.0,80.0,30.0,80.0,30.0,80.0,3.0,7.0,1.0,8.0,2.0,8.0,9.0,16.0,6.0,16.0,6.0,16.0,1024.0,80.0
30,80.0,80.0,30.0,30.0,55.0,80.0,9.0,10.0,2.0,1.0,4.0,11.0,16.0,16.0,6.0,6.0,11.0,16.0,1024.0,80.0
31,30.0,80.0,30.0,30.0,80.0,30.0,1.0,11.0,2.0,2.0,8.0,2.0,6.0,16.0,6.0,6.0,16.0,6.0,1024.0,80.0
32,30.0,30.0,30.0,30.0,30.0,70.0,2.0,2.0,1.0,2.0,1.0,10.0,6.0,6.0,6.0,6.0,6.0,16.0,1024.0,70.0
33,30.0,80.0,30.0,80.0,80.0,75.0,0.0,10.0,2.0,9.0,10.0,6.0,6.0,16.0,6.0,16.0,16.0,15.0,1024.0,80.0
34,55.0,80.0,30.0,30.0,30.0,30.0,4.0,10.0,1.0,2.0,2.0,1.0,11.0,16.0,6.0,6.0,6.0,6.0,1024.0,80.0
35,30.0,45.0,61.0,30.0,53.0,30.0,2.0,3.0,5.0,2.0,4.0,2.0,6.0,9.0,13.0,6.0,11.0,6.0,1024.0,61.0
36,30.0,80.0,30.0,30.0,30.0,30.0,1.0,9.0,2.0,2.0,2.0,2.0,6.0,16.0,6.0,6.0,6.0,6.0,1024.0,80.0
37,80.0,80.0,30.0,30.0,80.0,80.0,9.0,9.0,1.0,2.0,10.0,10.0,16.0,16.0,6.0,6.0,16.0,16.0,1024.0,80.0
38,45.0,80.0,80.0,30.0,75.0,80.0,3.0,11.0,7.0,2.0,6.0,11.0,9.0,16.0,16.0,6.0,15.0,16.0,1024.0,80.0
39,30.0,80.0,30.0,80.0,80.0,30.0,2.0,9.0,2.0,12.0,9.0,2.0,6.0,16.0,6.0,16.0,16.0,6.0,1024.0,80.0
