,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,14.0,14.0,14.0,500.0,16.0,18.0,17.0,18.0,58.0,32.0,58.0,32.0,810.0,500.0,3.0
1,14.0,14.0,14.0,500.0,19.0,19.0,23.0,19.0,58.0,32.0,58.0,32.0,810.0,500.0,3.0
2,14.0,14.0,14.0,500.0,17.0,20.0,23.0,20.0,58.0,32.0,58.0,32.0,810.0,500.0,3.0
3,14.0,14.0,14.0,500.0,20.0,24.0,20.0,17.0,58.0,32.0,58.0,32.0,810.0,500.0,3.0
4,14.0,14.0,14.0,500.0,15.0,20.0,15.0,22.0,58.0,32.0,58.0,32.0,810.0,500.0,3.0
5,14.0,14.0,14.0,500.0,18.0,22.0,8.0,21.0,58.0,32.0,58.0,32.0,810.0,500.0,3.0
6,14.0,14.0,14.0,500.0,15.0,21.0,25.0,22.0,58.0,32.0,58.0,32.0,810.0,500.0,3.0
7,14.0,14.0,14.0,500.0,19.0,17.0,23.0,18.0,58.0,32.0,58.0,32.0,810.0,500.0,3.0
8,14.0,14.0,14.0,500.0,19.0,17.0,10.0,16.0,58.0,32.0,58.0,32.0,810.0,500.0,3.0
9,14.0,14.0,14.0,500.0,21.0,20.0,16.0,17.0,58.0,32.0,58.0,32.0,810.0,500.0,3.0
10,14.0,14.0,14.0,500.0,13.0,20.0,20.0,18.0,58.0,32.0,58.0,32.0,810.0,500.0,3.0
11,14.0,14.0,14.0,500.0,18.0,12.0,15.0,15.0,58.0,32.0,58.0,32.0,810.0,500.0,3.0
12,14.0,14.0,14.0,500.0,20.0,20.0,12.0,22.0,58.0,32.0,58.0,32.0,810.0,500.0,3.0
13,14.0,14.0,14.0,500.0,11.0,19.0,18.0,12.0,58.0,32.0,58.0,32.0,810.0,500.0,3.0
14,14.0,14.0,14.0,500.0,13.0,24.0,10.0,16.0,58.0,32.0,58.0,32.0,810.0,500.0,3.0
15,14.0,14.0,14.0,500.0,14.0,17.0,19.0,19.0,58.0,32.0,58.0,32.0,810.0,500.0,3.0
16,14.0,14.0,14.0,500.0,18.0,20.0,18.0,18.0,58.0,32.0,58.0,32.0,810.0,500.0,3.0
17,14.0,14.0,14.0,500.0,19.0,21.0,15.0,18.0,58.0,32.0,58.0,32.0,810.0,500.0,3.0
18,14.0,14.0,14.0,500.0,17.0,19.0,12.0,25.0,58.0,32.0,58.0,32.0,810.0,500.0,3.0
