,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,25.0,25.0,25.0,500.0,25.0,25.0,20.0,34.0,28.0,33.0,31.0,32.0,84.0,52.0,84.0,52.0,79.0,69.0,1816.0,500.0,8.0
1,25.0,25.0,25.0,500.0,25.0,500.0,28.0,21.0,23.0,29.0,23.0,32.0,84.0,52.0,84.0,52.0,79.0,69.0,1816.0,500.0,8.0
2,25.0,25.0,25.0,500.0,25.0,25.0,33.0,30.0,27.0,31.0,27.0,34.0,84.0,52.0,84.0,52.0,79.0,69.0,1816.0,500.0,8.0
3,25.0,25.0,25.0,500.0,25.0,25.0,21.0,31.0,28.0,36.0,35.0,37.0,84.0,52.0,84.0,52.0,79.0,69.0,1816.0,500.0,8.0
4,25.0,25.0,25.0,500.0,500.0,25.0,32.0,32.0,23.0,26.0,38.0,32.0,84.0,52.0,84.0,52.0,79.0,69.0,1816.0,500.0,8.0
5,25.0,25.0,25.0,500.0,25.0,500.0,27.0,34.0,23.0,34.0,32.0,30.0,84.0,52.0,84.0,52.0,79.0,69.0,1816.0,500.0,8.0
6,25.0,25.0,25.0,500.0,25.0,25.0,31.0,33.0,20.0,37.0,34.0,36.0,84.0,52.0,84.0,52.0,79.0,69.0,1816.0,500.0,8.0
7,25.0,25.0,25.0,500.0,25.0,500.0,25.0,32.0,24.0,30.0,36.0,39.0,84.0,52.0,84.0,52.0,79.0,69.0,1816.0,500.0,8.0
8,25.0,25.0,25.0,500.0,25.0,500.0,25.0,32.0,25.0,35.0,30.0,36.0,84.0,52.0,84.0,52.0,79.0,69.0,1816.0,500.0,8.0
9,25.0,25.0,25.0,500.0,25.0,500.0,23.0,30.0,25.0,30.0,35.0,33.0,84.0,52.0,84.0,52.0,79.0,69.0,1816.0,500.0,8.0
10,25.0,25.0,500.0,500.0,25.0,25.0,34.0,30.0,35.0,34.0,27.0,35.0,84.0,52.0,84.0,52.0,79.0,69.0,1816.0,500.0,8.0
11,25.0,25.0,25.0,500.0,25.0,25.0,32.0,32.0,25.0,37.0,37.0,29.0,84.0,52.0,84.0,52.0,79.0,69.0,1816.0,500.0,8.0
12,25.0,25.0,25.0,500.0,25.0,25.0,32.0,33.0,21.0,29.0,32.0,31.0,84.0,52.0,84.0,52.0,79.0,69.0,1816.0,500.0,8.0
13,25.0,25.0,25.0,500.0,25.0,25.0,23.0,34.0,35.0,34.0,27.0,33.0,84.0,52.0,84.0,52.0,79.0,69.0,1816.0,500.0,8.0
