,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,47.0,59.0,251.0,500.0,37.0,56.0,329.0,718.0,108.0,97.0,1026.0,1202.0,7917.0,500.0,7.0
1,47.0,239.0,83.0,500.0,37.0,301.0,53.0,728.0,108.0,505.0,216.0,1202.0,7935.0,500.0,7.0
2,47.0,131.0,203.0,500.0,30.0,156.0,208.0,734.0,108.0,262.0,702.0,1202.0,7935.0,500.0,7.0
3,47.0,59.0,263.0,500.0,29.0,54.0,316.0,721.0,108.0,97.0,1026.0,1202.0,7917.0,500.0,7.0
4,47.0,47.0,263.0,500.0,30.0,35.0,318.0,701.0,108.0,70.0,1064.0,1202.0,7869.0,500.0,7.0
5,47.0,95.0,227.0,500.0,35.0,109.0,265.0,698.0,108.0,181.0,873.0,1202.0,7962.0,500.0,7.0
6,47.0,47.0,260.0,500.0,36.0,36.0,337.0,732.0,108.0,70.0,1089.0,1202.0,7944.0,500.0,7.0
7,47.0,107.0,224.0,500.0,25.0,113.0,254.0,712.0,108.0,193.0,855.0,1202.0,7980.0,500.0,7.0
8,47.0,155.0,155.0,500.0,38.0,186.0,161.0,735.0,108.0,319.0,558.0,1202.0,7845.0,500.0,7.0
9,47.0,191.0,131.0,500.0,23.0,221.0,112.0,723.0,108.0,394.0,441.0,1202.0,7944.0,500.0,7.0
10,47.0,56.0,260.0,500.0,40.0,44.0,309.0,713.0,108.0,91.0,1044.0,1202.0,7935.0,500.0,7.0
11,47.0,83.0,227.0,500.0,31.0,89.0,282.0,730.0,108.0,151.0,927.0,1202.0,7944.0,500.0,7.0
12,47.0,107.0,227.0,500.0,33.0,126.0,262.0,709.0,108.0,211.0,820.0,1202.0,7983.0,500.0,7.0
13,47.0,260.0,59.0,500.0,32.0,318.0,31.0,728.0,108.0,550.0,144.0,1202.0,7989.0,500.0,7.0
14,47.0,71.0,258.0,498.0,31.0,79.0,321.0,731.0,108.0,130.0,994.0,1201.0,8013.0,498.0,7.0
15,47.0,80.0,248.0,500.0,34.0,82.0,286.0,734.0,108.0,145.0,936.0,1202.0,7935.0,500.0,7.0
16,47.0,56.0,272.0,500.0,28.0,50.0,316.0,729.0,108.0,91.0,1044.0,1202.0,7935.0,500.0,7.0
17,47.0,107.0,215.0,500.0,40.0,110.0,231.0,693.0,108.0,193.0,810.0,1202.0,7845.0,500.0,7.0
18,47.0,119.0,203.0,500.0,30.0,143.0,227.0,715.0,108.0,232.0,756.0,1202.0,7917.0,500.0,7.0
19,47.0,95.0,215.0,500.0,31.0,105.0,266.0,700.0,108.0,178.0,873.0,1202.0,7944.0,500.0,7.0
20,47.0,56.0,272.0,500.0,26.0,45.0,329.0,719.0,108.0,91.0,1062.0,1202.0,7989.0,500.0,7.0
21,47.0,260.0,47.0,500.0,24.0,338.0,25.0,737.0,108.0,556.0,108.0,1202.0,7917.0,500.0,7.0
22,47.0,143.0,179.0,500.0,36.0,176.0,213.0,727.0,108.0,289.0,652.0,1202.0,7947.0,500.0,7.0
23,47.0,261.0,59.0,489.0,37.0,326.0,37.0,694.0,108.0,559.0,162.0,1174.0,8010.0,489.0,7.0
24,47.0,80.0,251.0,500.0,34.0,84.0,277.0,682.0,108.0,139.0,936.0,1202.0,7899.0,500.0,7.0
