,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,21.0,21.0,21.0,500.0,21.0,213.0,25.0,24.0,19.0,755.0,23.0,345.0,76.0,46.0,76.0,1243.0,73.0,732.0,7909.0,500.0,7.0
1,21.0,21.0,33.0,499.0,21.0,223.0,24.0,31.0,43.0,742.0,29.0,369.0,76.0,46.0,130.0,1243.0,73.0,719.0,8019.0,499.0,7.0
2,21.0,81.0,117.0,500.0,21.0,68.0,21.0,124.0,145.0,727.0,27.0,106.0,76.0,184.0,454.0,1243.0,73.0,236.0,7887.0,500.0,7.0
3,21.0,21.0,21.0,498.0,21.0,225.0,23.0,23.0,21.0,751.0,31.0,395.0,76.0,46.0,76.0,1240.0,73.0,758.0,8004.0,498.0,7.0
4,21.0,21.0,68.0,500.0,57.0,152.0,14.0,26.0,74.0,757.0,74.0,231.0,76.0,46.0,243.0,1243.0,190.0,508.0,7982.0,500.0,7.0
5,21.0,21.0,33.0,500.0,21.0,212.0,20.0,28.0,35.0,731.0,26.0,364.0,76.0,46.0,112.0,1243.0,73.0,713.0,7941.0,500.0,7.0
6,21.0,45.0,21.0,500.0,21.0,200.0,21.0,69.0,20.0,730.0,22.0,322.0,76.0,106.0,76.0,1243.0,73.0,668.0,8013.0,500.0,7.0
7,21.0,21.0,45.0,500.0,21.0,212.0,25.0,26.0,56.0,738.0,31.0,345.0,76.0,46.0,184.0,1243.0,73.0,669.0,7981.0,500.0,7.0
8,21.0,21.0,69.0,500.0,44.0,164.0,21.0,27.0,75.0,746.0,75.0,272.0,76.0,46.0,220.0,1243.0,178.0,544.0,8009.0,500.0,7.0
9,21.0,21.0,21.0,498.0,21.0,210.0,31.0,30.0,23.0,771.0,30.0,399.0,76.0,46.0,76.0,1240.0,73.0,757.0,8000.0,498.0,7.0
10,21.0,21.0,21.0,500.0,21.0,224.0,25.0,25.0,23.0,730.0,32.0,384.0,76.0,46.0,76.0,1243.0,73.0,745.0,7961.0,500.0,7.0
11,21.0,33.0,45.0,500.0,69.0,128.0,27.0,40.0,50.0,742.0,91.0,212.0,76.0,73.0,176.0,1243.0,229.0,460.0,7907.0,500.0,7.0
12,21.0,21.0,93.0,500.0,21.0,176.0,18.0,30.0,115.0,750.0,24.0,311.0,76.0,46.0,310.0,1243.0,73.0,569.0,7959.0,500.0,7.0
13,21.0,21.0,45.0,500.0,21.0,201.0,23.0,26.0,48.0,739.0,23.0,354.0,76.0,46.0,148.0,1243.0,73.0,689.0,7953.0,500.0,7.0
14,21.0,21.0,21.0,500.0,57.0,201.0,24.0,24.0,18.0,752.0,83.0,314.0,76.0,46.0,76.0,1243.0,190.0,630.0,7969.0,500.0,7.0
15,21.0,32.0,33.0,500.0,33.0,176.0,29.0,44.0,39.0,740.0,48.0,352.0,76.0,73.0,130.0,1243.0,112.0,652.0,8069.0,500.0,7.0
16,21.0,21.0,21.0,500.0,21.0,225.0,25.0,30.0,22.0,741.0,27.0,405.0,76.0,46.0,76.0,1243.0,73.0,723.0,7873.0,500.0,7.0
17,21.0,44.0,21.0,500.0,33.0,188.0,15.0,64.0,20.0,752.0,46.0,309.0,76.0,100.0,76.0,1243.0,112.0,646.0,8045.0,500.0,7.0
18,21.0,21.0,44.0,500.0,21.0,200.0,19.0,29.0,53.0,730.0,27.0,318.0,76.0,46.0,171.0,1243.0,73.0,659.0,7902.0,500.0,7.0
19,21.0,21.0,33.0,500.0,21.0,212.0,22.0,27.0,33.0,726.0,25.0,370.0,76.0,46.0,112.0,1243.0,73.0,729.0,8005.0,500.0,7.0
20,21.0,21.0,21.0,500.0,21.0,236.0,22.0,27.0,17.0,766.0,30.0,381.0,76.0,46.0,76.0,1243.0,73.0,742.0,7949.0,500.0,7.0
21,21.0,21.0,33.0,499.0,21.0,211.0,23.0,24.0,41.0,774.0,29.0,367.0,76.0,46.0,130.0,1243.0,73.0,718.0,8015.0,499.0,7.0
22,21.0,21.0,21.0,497.0,57.0,173.0,21.0,24.0,19.0,726.0,99.0,264.0,76.0,46.0,76.0,1237.0,243.0,592.0,8011.0,497.0,7.0
23,21.0,21.0,21.0,498.0,21.0,222.0,22.0,31.0,19.0,721.0,30.0,398.0,76.0,46.0,76.0,1240.0,73.0,758.0,8004.0,498.0,7.0
24,21.0,21.0,57.0,500.0,21.0,189.0,21.0,27.0,65.0,712.0,30.0,311.0,76.0,46.0,202.0,1243.0,73.0,604.0,7775.0,500.0,7.0
25,21.0,21.0,33.0,500.0,21.0,213.0,17.0,22.0,41.0,764.0,31.0,346.0,76.0,46.0,130.0,1243.0,73.0,694.0,7919.0,500.0,7.0
26,21.0,21.0,21.0,500.0,44.0,189.0,25.0,28.0,19.0,729.0,74.0,310.0,76.0,46.0,76.0,1243.0,178.0,639.0,7957.0,500.0,7.0
27,21.0,33.0,81.0,500.0,21.0,164.0,31.0,48.0,102.0,744.0,25.0,288.0,76.0,73.0,292.0,1243.0,73.0,556.0,8015.0,500.0,7.0
28,21.0,21.0,45.0,500.0,33.0,188.0,24.0,27.0,47.0,730.0,48.0,334.0,76.0,46.0,148.0,1243.0,112.0,649.0,7949.0,500.0,7.0
29,21.0,33.0,56.0,500.0,21.0,176.0,25.0,45.0,64.0,771.0,26.0,295.0,76.0,73.0,207.0,1243.0,73.0,608.0,7968.0,500.0,7.0
30,21.0,21.0,81.0,498.0,21.0,186.0,28.0,30.0,89.0,738.0,30.0,323.0,76.0,46.0,256.0,1240.0,73.0,625.0,8012.0,498.0,7.0
31,21.0,21.0,33.0,500.0,21.0,200.0,21.0,25.0,31.0,759.0,32.0,384.0,76.0,46.0,112.0,1243.0,73.0,733.0,8021.0,500.0,7.0
32,21.0,21.0,33.0,500.0,21.0,212.0,16.0,24.0,29.0,736.0,26.0,359.0,76.0,46.0,112.0,1243.0,73.0,733.0,8021.0,500.0,7.0
33,21.0,21.0,21.0,499.0,21.0,235.0,28.0,28.0,17.0,759.0,29.0,376.0,76.0,46.0,76.0,1243.0,73.0,755.0,8001.0,499.0,7.0
34,21.0,21.0,21.0,500.0,21.0,225.0,28.0,32.0,18.0,750.0,27.0,386.0,76.0,46.0,76.0,1243.0,73.0,732.0,7909.0,500.0,7.0
35,21.0,45.0,67.0,499.0,21.0,163.0,31.0,66.0,89.0,753.0,29.0,264.0,76.0,103.0,266.0,1243.0,73.0,540.0,8053.0,499.0,7.0
36,21.0,21.0,57.0,500.0,33.0,165.0,27.0,26.0,74.0,763.0,49.0,289.0,76.0,46.0,238.0,1243.0,112.0,572.0,7911.0,500.0,7.0
37,21.0,21.0,21.0,499.0,31.0,211.0,19.0,28.0,20.0,759.0,47.0,351.0,76.0,46.0,76.0,1243.0,135.0,694.0,8005.0,499.0,7.0
38,21.0,21.0,21.0,500.0,21.0,213.0,26.0,26.0,17.0,751.0,30.0,358.0,76.0,46.0,76.0,1243.0,73.0,717.0,7849.0,500.0,7.0
39,21.0,21.0,45.0,496.0,81.0,136.0,28.0,24.0,49.0,728.0,116.0,239.0,76.0,46.0,176.0,1234.0,268.0,492.0,8002.0,496.0,7.0
40,21.0,21.0,57.0,500.0,21.0,188.0,28.0,26.0,55.0,765.0,27.0,336.0,76.0,46.0,184.0,1243.0,73.0,665.0,7965.0,500.0,7.0
41,21.0,21.0,69.0,500.0,21.0,176.0,29.0,25.0,79.0,770.0,29.0,311.0,76.0,46.0,238.0,1243.0,73.0,617.0,7935.0,500.0,7.0
42,21.0,21.0,33.0,500.0,21.0,201.0,26.0,28.0,33.0,749.0,26.0,349.0,76.0,46.0,112.0,1243.0,73.0,659.0,7725.0,500.0,7.0
43,21.0,33.0,104.0,500.0,21.0,152.0,28.0,47.0,118.0,735.0,22.0,243.0,76.0,73.0,351.0,1243.0,73.0,505.0,7988.0,500.0,7.0
44,21.0,21.0,55.0,499.0,45.0,175.0,21.0,26.0,69.0,759.0,66.0,279.0,76.0,46.0,220.0,1243.0,151.0,572.0,8013.0,499.0,7.0
45,21.0,45.0,33.0,494.0,33.0,153.0,22.0,64.0,33.0,721.0,70.0,275.0,76.0,100.0,112.0,1228.0,165.0,566.0,8000.0,494.0,7.0
46,21.0,45.0,33.0,489.0,21.0,189.0,29.0,64.0,33.0,746.0,29.0,308.0,76.0,100.0,112.0,1216.0,73.0,667.0,8000.0,489.0,7.0
47,21.0,21.0,33.0,498.0,21.0,210.0,27.0,28.0,33.0,734.0,30.0,374.0,76.0,46.0,112.0,1240.0,73.0,732.0,8008.0,498.0,7.0
48,21.0,21.0,93.0,500.0,21.0,165.0,20.0,26.0,107.0,755.0,28.0,262.0,76.0,46.0,328.0,1243.0,73.0,540.0,7897.0,500.0,7.0
49,21.0,21.0,45.0,500.0,21.0,188.0,25.0,27.0,46.0,748.0,27.0,337.0,76.0,46.0,166.0,1243.0,73.0,665.0,7911.0,500.0,7.0
