,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,20.0,20.0,720.0,720.0,30.0,24.0,26.0,27.0,74.0,44.0,74.0,44.0,1062.0,720.0,5.0
1,21.0,21.0,720.0,720.0,25.0,31.0,28.0,28.0,76.0,46.0,76.0,46.0,1098.0,720.0,5.0
2,23.0,23.0,23.0,720.0,21.0,30.0,18.0,38.0,80.0,49.0,80.0,49.0,1161.0,720.0,5.0
3,19.0,720.0,720.0,720.0,23.0,29.0,22.0,27.0,71.0,42.0,71.0,42.0,1017.0,720.0,5.0
4,20.0,20.0,720.0,720.0,17.0,29.0,28.0,29.0,74.0,44.0,74.0,44.0,1062.0,720.0,5.0
5,19.0,19.0,720.0,720.0,25.0,23.0,24.0,29.0,71.0,42.0,71.0,42.0,1017.0,720.0,5.0
6,19.0,720.0,720.0,720.0,26.0,29.0,22.0,27.0,71.0,42.0,71.0,42.0,1017.0,720.0,5.0
7,21.0,720.0,720.0,720.0,16.0,30.0,27.0,29.0,76.0,46.0,76.0,46.0,1098.0,720.0,5.0
8,21.0,720.0,720.0,720.0,24.0,30.0,23.0,27.0,76.0,46.0,76.0,46.0,1098.0,720.0,5.0
9,18.0,18.0,720.0,720.0,20.0,28.0,29.0,26.0,69.0,41.0,69.0,41.0,990.0,720.0,5.0
10,24.0,720.0,720.0,720.0,26.0,33.0,27.0,31.0,82.0,51.0,82.0,51.0,1197.0,720.0,5.0
11,20.0,20.0,720.0,720.0,30.0,26.0,20.0,27.0,74.0,44.0,74.0,44.0,1062.0,720.0,5.0
12,20.0,20.0,720.0,720.0,19.0,22.0,31.0,29.0,74.0,44.0,74.0,44.0,1062.0,720.0,5.0
13,22.0,22.0,720.0,720.0,25.0,31.0,26.0,33.0,78.0,48.0,78.0,48.0,1134.0,720.0,5.0
14,21.0,21.0,21.0,720.0,25.0,27.0,20.0,31.0,76.0,46.0,76.0,46.0,1098.0,720.0,5.0
15,18.0,18.0,720.0,720.0,30.0,29.0,26.0,25.0,69.0,41.0,69.0,41.0,990.0,720.0,5.0
16,18.0,18.0,720.0,720.0,24.0,25.0,24.0,28.0,69.0,41.0,69.0,41.0,990.0,720.0,5.0
17,20.0,720.0,720.0,720.0,25.0,33.0,27.0,28.0,74.0,44.0,74.0,44.0,1062.0,720.0,5.0
18,22.0,22.0,720.0,720.0,24.0,30.0,26.0,29.0,78.0,48.0,78.0,48.0,1134.0,720.0,5.0
19,19.0,720.0,720.0,720.0,27.0,29.0,20.0,27.0,71.0,42.0,71.0,42.0,1017.0,720.0,5.0
20,20.0,20.0,720.0,720.0,24.0,30.0,26.0,29.0,74.0,44.0,74.0,44.0,1062.0,720.0,5.0
21,21.0,21.0,720.0,720.0,18.0,28.0,29.0,30.0,76.0,46.0,76.0,46.0,1098.0,720.0,5.0
22,22.0,22.0,720.0,720.0,27.0,29.0,27.0,29.0,78.0,48.0,78.0,48.0,1134.0,720.0,5.0
23,20.0,20.0,720.0,720.0,26.0,27.0,23.0,29.0,74.0,44.0,74.0,44.0,1062.0,720.0,5.0
24,21.0,21.0,720.0,720.0,22.0,27.0,26.0,32.0,76.0,46.0,76.0,46.0,1098.0,720.0,5.0
25,21.0,21.0,21.0,720.0,32.0,23.0,18.0,27.0,76.0,46.0,76.0,46.0,1098.0,720.0,5.0
26,21.0,21.0,720.0,720.0,23.0,27.0,26.0,24.0,76.0,46.0,76.0,46.0,1098.0,720.0,5.0
27,23.0,23.0,720.0,720.0,20.0,29.0,23.0,28.0,80.0,49.0,80.0,49.0,1161.0,720.0,5.0
28,19.0,720.0,720.0,720.0,29.0,32.0,22.0,21.0,71.0,42.0,71.0,42.0,1017.0,720.0,5.0
29,23.0,23.0,720.0,720.0,21.0,29.0,26.0,25.0,80.0,49.0,80.0,49.0,1161.0,720.0,5.0
30,22.0,720.0,720.0,720.0,31.0,27.0,23.0,27.0,78.0,48.0,78.0,48.0,1134.0,720.0,5.0
31,21.0,720.0,21.0,720.0,25.0,35.0,26.0,33.0,76.0,46.0,76.0,46.0,1098.0,720.0,5.0
32,19.0,19.0,19.0,720.0,21.0,28.0,22.0,30.0,71.0,42.0,71.0,42.0,1017.0,720.0,5.0
33,22.0,22.0,22.0,720.0,27.0,31.0,26.0,36.0,78.0,48.0,78.0,48.0,1134.0,720.0,5.0
34,21.0,720.0,720.0,720.0,26.0,28.0,24.0,26.0,76.0,46.0,76.0,46.0,1098.0,720.0,5.0
35,19.0,19.0,19.0,720.0,26.0,26.0,20.0,28.0,71.0,42.0,71.0,42.0,1017.0,720.0,5.0
36,21.0,21.0,720.0,720.0,29.0,30.0,28.0,29.0,76.0,46.0,76.0,46.0,1098.0,720.0,5.0
37,21.0,21.0,21.0,720.0,20.0,26.0,21.0,33.0,76.0,46.0,76.0,46.0,1098.0,720.0,5.0
38,20.0,20.0,20.0,720.0,26.0,18.0,26.0,34.0,74.0,44.0,74.0,44.0,1062.0,720.0,5.0
39,20.0,720.0,20.0,720.0,25.0,30.0,18.0,30.0,74.0,44.0,74.0,44.0,1062.0,720.0,5.0
40,21.0,21.0,720.0,720.0,26.0,27.0,24.0,25.0,76.0,46.0,76.0,46.0,1098.0,720.0,5.0
41,20.0,20.0,20.0,720.0,27.0,28.0,21.0,33.0,74.0,44.0,74.0,44.0,1062.0,720.0,5.0
42,19.0,720.0,720.0,720.0,22.0,29.0,24.0,29.0,71.0,42.0,71.0,42.0,1017.0,720.0,5.0
43,22.0,720.0,720.0,720.0,26.0,29.0,21.0,24.0,78.0,48.0,78.0,48.0,1134.0,720.0,5.0
44,18.0,720.0,18.0,720.0,23.0,32.0,21.0,24.0,69.0,41.0,69.0,41.0,990.0,720.0,5.0
45,20.0,20.0,720.0,720.0,31.0,29.0,25.0,29.0,74.0,44.0,74.0,44.0,1062.0,720.0,5.0
46,21.0,21.0,720.0,720.0,21.0,27.0,27.0,33.0,76.0,46.0,76.0,46.0,1098.0,720.0,5.0
47,23.0,720.0,720.0,720.0,22.0,31.0,26.0,24.0,80.0,49.0,80.0,49.0,1161.0,720.0,5.0
48,22.0,720.0,22.0,720.0,28.0,33.0,17.0,30.0,78.0,48.0,78.0,48.0,1134.0,720.0,5.0
49,22.0,22.0,720.0,720.0,27.0,27.0,25.0,22.0,78.0,48.0,78.0,48.0,1134.0,720.0,5.0
