,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,11.0,11.0,720.0,720.0,11.0,720.0,16.0,18.0,18.0,16.0,15.0,21.0,48.0,24.0,48.0,24.0,49.0,39.0,1000.0,720.0,6.0
1,12.0,12.0,12.0,720.0,12.0,720.0,22.0,17.0,14.0,13.0,21.0,22.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
2,12.0,12.0,12.0,720.0,12.0,720.0,17.0,19.0,11.0,18.0,20.0,24.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
3,12.0,12.0,12.0,720.0,12.0,720.0,16.0,18.0,13.0,16.0,19.0,21.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
4,11.0,11.0,11.0,720.0,11.0,720.0,18.0,16.0,16.0,13.0,16.0,22.0,48.0,24.0,48.0,24.0,49.0,39.0,1000.0,720.0,6.0
5,13.0,13.0,13.0,720.0,13.0,720.0,16.0,18.0,15.0,20.0,24.0,22.0,55.0,30.0,55.0,30.0,55.0,45.0,1165.0,720.0,6.0
6,12.0,12.0,12.0,720.0,720.0,12.0,15.0,16.0,17.0,19.0,28.0,21.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
7,11.0,720.0,720.0,720.0,11.0,720.0,17.0,20.0,18.0,15.0,25.0,20.0,48.0,24.0,48.0,24.0,49.0,39.0,1000.0,720.0,6.0
8,11.0,11.0,720.0,720.0,11.0,11.0,20.0,15.0,19.0,17.0,24.0,12.0,48.0,24.0,48.0,24.0,49.0,39.0,1000.0,720.0,6.0
9,12.0,12.0,12.0,720.0,720.0,12.0,16.0,16.0,18.0,17.0,29.0,20.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
10,12.0,12.0,720.0,720.0,12.0,720.0,15.0,18.0,21.0,16.0,26.0,25.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
11,12.0,12.0,12.0,720.0,12.0,720.0,16.0,17.0,15.0,20.0,25.0,23.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
12,13.0,720.0,13.0,720.0,13.0,13.0,9.0,21.0,17.0,18.0,17.0,19.0,55.0,30.0,55.0,30.0,55.0,45.0,1165.0,720.0,6.0
13,12.0,12.0,12.0,720.0,720.0,720.0,19.0,16.0,14.0,17.0,26.0,20.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
14,12.0,12.0,12.0,720.0,12.0,720.0,15.0,13.0,14.0,15.0,21.0,22.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
15,12.0,12.0,12.0,720.0,12.0,720.0,14.0,12.0,13.0,17.0,22.0,27.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
16,13.0,13.0,13.0,720.0,13.0,13.0,19.0,17.0,13.0,25.0,17.0,25.0,55.0,30.0,55.0,30.0,55.0,45.0,1165.0,720.0,6.0
17,11.0,11.0,720.0,720.0,11.0,720.0,12.0,16.0,20.0,17.0,13.0,23.0,48.0,24.0,48.0,24.0,49.0,39.0,1000.0,720.0,6.0
18,11.0,11.0,11.0,720.0,11.0,720.0,20.0,16.0,10.0,17.0,18.0,24.0,48.0,24.0,48.0,24.0,49.0,39.0,1000.0,720.0,6.0
19,12.0,720.0,720.0,720.0,12.0,720.0,17.0,19.0,16.0,16.0,17.0,19.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
20,12.0,12.0,12.0,720.0,12.0,12.0,18.0,14.0,19.0,21.0,23.0,19.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
21,12.0,12.0,12.0,720.0,720.0,720.0,16.0,14.0,13.0,15.0,27.0,21.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
22,11.0,11.0,11.0,720.0,11.0,720.0,15.0,16.0,16.0,15.0,23.0,24.0,48.0,24.0,48.0,24.0,49.0,39.0,1000.0,720.0,6.0
23,12.0,12.0,12.0,720.0,12.0,720.0,14.0,18.0,17.0,17.0,23.0,25.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
24,12.0,12.0,720.0,720.0,12.0,720.0,11.0,20.0,19.0,18.0,22.0,22.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
25,12.0,12.0,720.0,720.0,12.0,720.0,18.0,16.0,18.0,13.0,16.0,21.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
26,12.0,12.0,12.0,720.0,720.0,720.0,15.0,14.0,10.0,16.0,26.0,21.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
27,10.0,10.0,720.0,720.0,10.0,10.0,18.0,12.0,18.0,14.0,25.0,16.0,44.0,21.0,44.0,21.0,46.0,36.0,913.0,720.0,6.0
28,12.0,12.0,12.0,720.0,12.0,12.0,15.0,15.0,15.0,18.0,25.0,20.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
29,12.0,12.0,12.0,720.0,12.0,720.0,17.0,16.0,10.0,17.0,25.0,23.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
30,10.0,10.0,10.0,720.0,10.0,720.0,17.0,16.0,17.0,14.0,17.0,21.0,44.0,21.0,44.0,21.0,46.0,36.0,913.0,720.0,6.0
31,12.0,12.0,12.0,720.0,12.0,12.0,15.0,15.0,17.0,18.0,25.0,16.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
32,12.0,12.0,12.0,720.0,12.0,12.0,15.0,18.0,16.0,22.0,23.0,21.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
33,11.0,11.0,11.0,720.0,11.0,11.0,12.0,18.0,11.0,19.0,23.0,19.0,48.0,24.0,48.0,24.0,49.0,39.0,1000.0,720.0,6.0
34,11.0,11.0,11.0,720.0,11.0,720.0,17.0,16.0,13.0,14.0,21.0,19.0,48.0,24.0,48.0,24.0,49.0,39.0,1000.0,720.0,6.0
35,12.0,12.0,720.0,720.0,12.0,720.0,10.0,19.0,20.0,16.0,19.0,23.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
36,13.0,13.0,13.0,720.0,13.0,720.0,15.0,17.0,19.0,18.0,22.0,24.0,55.0,30.0,55.0,30.0,55.0,45.0,1165.0,720.0,6.0
37,11.0,11.0,11.0,720.0,11.0,11.0,11.0,16.0,17.0,17.0,24.0,20.0,48.0,24.0,48.0,24.0,49.0,39.0,1000.0,720.0,6.0
38,12.0,12.0,720.0,720.0,12.0,720.0,14.0,17.0,18.0,13.0,23.0,19.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
39,12.0,12.0,12.0,720.0,12.0,12.0,19.0,16.0,15.0,18.0,20.0,18.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
40,12.0,12.0,12.0,720.0,12.0,12.0,19.0,14.0,9.0,21.0,25.0,18.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
41,12.0,12.0,12.0,720.0,12.0,720.0,18.0,13.0,14.0,13.0,21.0,22.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
42,10.0,720.0,720.0,720.0,720.0,720.0,15.0,17.0,18.0,11.0,24.0,18.0,44.0,21.0,44.0,21.0,46.0,36.0,913.0,720.0,6.0
43,12.0,12.0,720.0,720.0,12.0,12.0,13.0,22.0,21.0,20.0,20.0,16.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
44,11.0,11.0,11.0,720.0,11.0,720.0,15.0,17.0,16.0,17.0,23.0,24.0,48.0,24.0,48.0,24.0,49.0,39.0,1000.0,720.0,6.0
45,12.0,12.0,12.0,720.0,12.0,12.0,14.0,15.0,10.0,20.0,23.0,22.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
46,12.0,12.0,12.0,720.0,12.0,720.0,16.0,18.0,18.0,22.0,30.0,26.0,51.0,27.0,51.0,27.0,52.0,42.0,1078.0,720.0,6.0
47,11.0,11.0,11.0,720.0,11.0,11.0,16.0,19.0,16.0,16.0,18.0,21.0,48.0,24.0,48.0,24.0,49.0,39.0,1000.0,720.0,6.0
48,11.0,11.0,720.0,720.0,11.0,11.0,16.0,13.0,18.0,15.0,22.0,16.0,48.0,24.0,48.0,24.0,49.0,39.0,1000.0,720.0,6.0
49,13.0,13.0,720.0,720.0,13.0,720.0,10.0,18.0,19.0,16.0,23.0,23.0,55.0,30.0,55.0,30.0,55.0,45.0,1165.0,720.0,6.0
