,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,23.0,71.0,131.0,131.0,26.0,100.0,201.0,176.0,80.0,163.0,656.0,319.0,4383.0,131.0,6.0
1,20.0,36.0,132.0,132.0,21.0,49.0,251.0,184.0,74.0,79.0,676.0,319.0,3903.0,132.0,6.0
2,22.0,46.0,58.0,238.0,23.0,63.0,55.0,372.0,78.0,102.0,186.0,588.0,3402.0,238.0,6.0
3,19.0,151.0,31.0,151.0,30.0,250.0,31.0,216.0,71.0,372.0,125.0,372.0,4149.0,151.0,6.0
4,21.0,47.0,107.0,203.0,27.0,63.0,132.0,285.0,76.0,106.0,436.0,496.0,3888.0,203.0,6.0
5,22.0,70.0,58.0,202.0,26.0,101.0,81.0,304.0,78.0,159.0,270.0,498.0,3726.0,202.0,6.0
6,20.0,31.0,81.0,229.0,24.0,36.0,103.0,350.0,74.0,71.0,349.0,566.0,3615.0,229.0,6.0
7,20.0,32.0,101.0,209.0,18.0,44.0,148.0,315.0,74.0,74.0,452.0,515.0,3789.0,209.0,6.0
8,20.0,32.0,140.0,152.0,30.0,39.0,237.0,207.0,74.0,71.0,744.0,374.0,4224.0,152.0,6.0
9,21.0,81.0,45.0,213.0,24.0,118.0,46.0,317.0,76.0,190.0,166.0,526.0,3672.0,213.0,6.0
10,20.0,42.0,138.0,150.0,23.0,60.0,238.0,216.0,74.0,98.0,691.0,368.0,4209.0,150.0,6.0
11,18.0,102.0,90.0,162.0,23.0,155.0,123.0,233.0,69.0,245.0,429.0,401.0,4374.0,162.0,6.0
12,20.0,127.0,79.0,151.0,29.0,193.0,105.0,217.0,74.0,311.0,380.0,371.0,4563.0,151.0,6.0
13,22.0,34.0,142.0,142.0,25.0,43.0,250.0,210.0,78.0,78.0,718.0,348.0,4134.0,142.0,6.0
14,17.0,17.0,77.0,245.0,26.0,21.0,99.0,371.0,66.0,39.0,354.0,609.0,3519.0,245.0,6.0
15,21.0,21.0,81.0,249.0,25.0,25.0,97.0,362.0,76.0,46.0,346.0,616.0,3618.0,249.0,6.0
16,19.0,115.0,67.0,151.0,24.0,184.0,88.0,230.0,71.0,282.0,296.0,372.0,4122.0,151.0,6.0
17,20.0,68.0,116.0,140.0,24.0,100.0,182.0,206.0,74.0,164.0,590.0,344.0,4230.0,140.0,6.0
18,20.0,32.0,44.0,260.0,22.0,39.0,39.0,406.0,74.0,71.0,146.0,644.0,3240.0,260.0,6.0
19,18.0,52.0,102.0,196.0,28.0,73.0,132.0,287.0,69.0,122.0,447.0,485.0,3942.0,196.0,6.0
