,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,11.0,59.0,59.0,59.0,47.0,59.0,14.0,86.0,99.0,89.0,122.0,127.0,48.0,144.0,336.0,144.0,325.0,239.0,4848.0,59.0,1.0
1,12.0,54.0,54.0,54.0,54.0,54.0,15.0,83.0,93.0,74.0,161.0,108.0,51.0,129.0,303.0,129.0,374.0,217.0,4740.0,54.0,1.0
2,11.0,46.0,59.0,59.0,59.0,59.0,13.0,67.0,96.0,80.0,166.0,127.0,48.0,111.0,336.0,141.0,417.0,239.0,5009.0,59.0,1.0
3,12.0,48.0,60.0,60.0,60.0,60.0,18.0,58.0,90.0,92.0,155.0,129.0,51.0,117.0,339.0,147.0,420.0,242.0,5114.0,60.0,1.0
4,12.0,48.0,48.0,48.0,48.0,48.0,20.0,74.0,91.0,70.0,154.0,99.0,51.0,117.0,267.0,117.0,328.0,192.0,4240.0,48.0,1.0
5,11.0,47.0,59.0,59.0,59.0,59.0,15.0,61.0,100.0,86.0,163.0,131.0,48.0,114.0,336.0,144.0,417.0,239.0,5036.0,59.0,1.0
6,13.0,49.0,49.0,49.0,49.0,49.0,17.0,69.0,103.0,67.0,144.0,100.0,55.0,120.0,271.0,120.0,331.0,195.0,4327.0,49.0,1.0
7,12.0,48.0,60.0,60.0,60.0,60.0,12.0,70.0,104.0,87.0,163.0,130.0,51.0,117.0,339.0,147.0,420.0,242.0,5114.0,60.0,1.0
8,24.0,60.0,60.0,60.0,24.0,60.0,39.0,91.0,114.0,93.0,54.0,111.0,123.0,147.0,339.0,147.0,144.0,242.0,4622.0,60.0,1.0
9,13.0,65.0,39.0,65.0,52.0,65.0,17.0,99.0,56.0,105.0,130.0,121.0,55.0,155.0,199.0,158.0,331.0,262.0,4703.0,65.0,1.0
10,10.0,62.0,62.0,62.0,36.0,62.0,13.0,96.0,102.0,79.0,88.0,136.0,44.0,149.0,350.0,146.0,230.0,253.0,4578.0,62.0,1.0
11,24.0,59.0,59.0,59.0,33.0,59.0,45.0,85.0,107.0,89.0,86.0,118.0,120.0,141.0,336.0,144.0,210.0,239.0,4802.0,59.0,1.0
