,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,14.0,14.0,14.0,441.0,12.0,19.0,26.0,637.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
1,14.0,14.0,14.0,441.0,11.0,21.0,21.0,632.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
2,14.0,14.0,14.0,441.0,23.0,20.0,17.0,667.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
3,14.0,14.0,14.0,441.0,18.0,25.0,16.0,646.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
4,14.0,14.0,14.0,441.0,20.0,23.0,18.0,641.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
5,14.0,14.0,14.0,441.0,19.0,17.0,12.0,655.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
6,14.0,14.0,14.0,441.0,13.0,20.0,22.0,677.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
7,14.0,14.0,14.0,441.0,15.0,18.0,13.0,661.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
8,14.0,14.0,14.0,441.0,15.0,21.0,17.0,662.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
9,14.0,14.0,14.0,441.0,24.0,18.0,23.0,647.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
10,14.0,14.0,14.0,441.0,20.0,22.0,18.0,670.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
11,14.0,14.0,14.0,441.0,20.0,16.0,17.0,665.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
12,14.0,14.0,14.0,441.0,16.0,19.0,15.0,667.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
13,14.0,14.0,14.0,441.0,13.0,16.0,23.0,649.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
14,14.0,14.0,14.0,442.0,19.0,16.0,19.0,649.0,58.0,32.0,58.0,1097.0,4005.0,442.0,3.0
15,14.0,14.0,14.0,442.0,17.0,16.0,17.0,647.0,58.0,32.0,58.0,1097.0,4005.0,442.0,3.0
16,14.0,14.0,14.0,441.0,22.0,22.0,12.0,668.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
17,14.0,14.0,14.0,441.0,17.0,18.0,14.0,633.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
18,14.0,14.0,14.0,441.0,11.0,20.0,18.0,666.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
19,14.0,14.0,14.0,441.0,17.0,15.0,15.0,658.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
20,14.0,14.0,14.0,441.0,17.0,15.0,18.0,660.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
21,14.0,14.0,14.0,441.0,17.0,21.0,19.0,655.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
22,14.0,14.0,14.0,441.0,20.0,19.0,18.0,649.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
23,14.0,14.0,14.0,441.0,25.0,16.0,21.0,632.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
24,14.0,14.0,14.0,441.0,17.0,24.0,25.0,658.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
25,14.0,14.0,14.0,442.0,18.0,21.0,15.0,652.0,58.0,32.0,58.0,1097.0,4005.0,442.0,3.0
26,14.0,14.0,14.0,441.0,14.0,21.0,19.0,682.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
27,14.0,14.0,14.0,441.0,23.0,21.0,19.0,642.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
28,14.0,14.0,14.0,441.0,18.0,20.0,13.0,663.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
29,14.0,14.0,14.0,442.0,19.0,18.0,13.0,655.0,58.0,32.0,58.0,1097.0,4005.0,442.0,3.0
30,14.0,14.0,14.0,441.0,15.0,21.0,17.0,654.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
31,14.0,14.0,14.0,441.0,20.0,24.0,11.0,677.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
32,14.0,14.0,14.0,441.0,16.0,22.0,16.0,659.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
33,14.0,14.0,14.0,441.0,10.0,20.0,21.0,633.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
34,14.0,14.0,14.0,441.0,21.0,22.0,26.0,668.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
35,14.0,14.0,14.0,441.0,15.0,15.0,19.0,668.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
36,14.0,14.0,14.0,441.0,19.0,16.0,15.0,640.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
37,14.0,14.0,14.0,441.0,15.0,17.0,17.0,671.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
38,14.0,14.0,14.0,441.0,20.0,19.0,13.0,658.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
39,14.0,14.0,14.0,441.0,18.0,18.0,22.0,668.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
40,14.0,14.0,14.0,441.0,15.0,20.0,22.0,668.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
41,14.0,14.0,14.0,441.0,21.0,24.0,16.0,663.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
42,14.0,14.0,14.0,442.0,24.0,26.0,21.0,676.0,58.0,32.0,58.0,1097.0,4005.0,442.0,3.0
43,14.0,14.0,14.0,441.0,24.0,17.0,24.0,655.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
44,14.0,14.0,14.0,442.0,16.0,21.0,16.0,649.0,58.0,32.0,58.0,1097.0,4005.0,442.0,3.0
45,14.0,14.0,14.0,441.0,17.0,19.0,22.0,632.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
46,14.0,14.0,14.0,441.0,15.0,16.0,15.0,678.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
47,14.0,14.0,14.0,441.0,14.0,18.0,24.0,637.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
48,14.0,14.0,14.0,441.0,19.0,18.0,21.0,644.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
49,14.0,14.0,14.0,441.0,18.0,22.0,18.0,670.0,58.0,32.0,58.0,1097.0,4005.0,441.0,3.0
