,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,4.0,4.0,4.0,96.0,4.0,4.0,8.0,0.0,4.0,136.0,12.0,4.0,18.0,1.0,18.0,228.0,23.0,13.0,1011.0,96.0,0.0
1,4.0,16.0,4.0,70.0,4.0,4.0,4.0,22.0,6.0,101.0,10.0,4.0,18.0,31.0,18.0,166.0,23.0,13.0,1005.0,82.0,0.0
2,4.0,17.0,4.0,69.0,4.0,4.0,5.0,16.0,4.0,100.0,7.0,4.0,18.0,33.0,18.0,163.0,23.0,13.0,1008.0,82.0,0.0
3,4.0,4.0,4.0,74.0,4.0,14.0,5.0,0.0,5.0,110.0,8.0,24.0,18.0,1.0,18.0,175.0,23.0,52.0,1008.0,84.0,0.0
4,4.0,4.0,4.0,96.0,4.0,4.0,4.0,0.0,5.0,148.0,11.0,6.0,18.0,1.0,18.0,228.0,23.0,13.0,1011.0,96.0,0.0
5,4.0,16.0,4.0,70.0,4.0,4.0,4.0,12.0,5.0,91.0,12.0,8.0,18.0,31.0,18.0,166.0,23.0,13.0,1005.0,82.0,0.0
6,4.0,17.0,4.0,69.0,4.0,4.0,7.0,23.0,8.0,101.0,10.0,4.0,18.0,33.0,18.0,163.0,23.0,13.0,1008.0,82.0,0.0
7,4.0,4.0,4.0,75.0,4.0,14.0,4.0,0.0,5.0,104.0,8.0,33.0,18.0,1.0,18.0,175.0,23.0,52.0,1008.0,85.0,0.0
8,4.0,16.0,4.0,70.0,4.0,4.0,7.0,13.0,7.0,102.0,8.0,5.0,18.0,31.0,18.0,166.0,23.0,13.0,1005.0,82.0,0.0
9,4.0,16.0,13.0,53.0,4.0,4.0,4.0,23.0,27.0,65.0,8.0,7.0,18.0,31.0,62.0,120.0,23.0,13.0,1002.0,74.0,0.0
10,4.0,17.0,4.0,67.0,4.0,7.0,4.0,21.0,7.0,87.0,12.0,14.0,18.0,33.0,18.0,157.0,23.0,26.0,1042.0,83.0,0.0
11,4.0,16.0,4.0,50.0,4.0,13.0,7.0,14.0,4.0,66.0,13.0,26.0,18.0,31.0,18.0,119.0,23.0,49.0,1008.0,71.0,0.0
12,4.0,4.0,4.0,96.0,4.0,4.0,8.0,0.0,6.0,132.0,11.0,5.0,18.0,1.0,18.0,228.0,23.0,13.0,1011.0,96.0,0.0
13,4.0,17.0,4.0,69.0,4.0,4.0,5.0,25.0,5.0,97.0,10.0,5.0,18.0,33.0,18.0,163.0,23.0,13.0,1008.0,82.0,0.0
